,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-04-14.01.35 Tmae_ig Ranked Standard Win,3,8,2,4,2,0,453,False,66.666664,432,420.5663,46.15,2458,558,1802,438,656,120,21,5,58,10,308,61,337,39.97,11.39818,29.79,8.495166,101.78,95.07,85.39,76.06,28.406364,26.533632,23.831985,21.228022,1519,518678,55.45,138.78,176.8,218.07,132.34,20.62,9.02,98,0.09,66.04348,47.65113,37.40398,14.944882,58.774223,35.668274,5.5575023,3073,2970,3163,3321,204.7,121.26,45.06,268.87,102.16,276.57,94.46,129.5,101.8,103.7,140.9,55.17223,12.144898,32.682877,72.465836,27.534163,74.541145,25.458858,36.929306,29.030142,29.57196,40.18022,0,1,boay00
2023-04-14.01.35 sreescanor Ranked Standard Win,3,8,2,4,2,0,453,False,66.666664,432,420.65347,46.35,2459,558,1803,438,656,120,21,5,58,10,320,61,338,40.06,11.421567,29.77,8.487769,101.95,95.12,85.41,76.12,28.430006,26.525375,23.817623,21.226995,1522,518537,55.75,138.5,177.02,218.29,132.28,20.7,8.93,97,0.09,66.17391,47.679585,37.304386,15.016026,58.795483,35.629055,5.575457,3072,2964,3166,3319,204.85,121.34,45.08,269.06,102.21,276.8,94.47,127.4,100.2,102.6,139.7,55.175476,12.142106,32.68241,72.47017,27.52983,74.5549,25.445095,36.323204,28.56817,29.252438,39.830074,0,1,boay00
2023-03-23.23.59 VinuJ Ranked Standard Loss,2,13,2,3,1,0,374,False,100,367,359.35208,47.53,2041,178,1394,100,647,78,17,1,59,7,330,0,312,41.79,12.263043,31.7,9.302189,103.36,94.78,41.41,104.17,30.070988,27.57477,12.047597,30.306644,1509,501227,43.99,142.17,169.05,202.79,140.57,11.84,9.78,97,0.1,65.608696,47.591568,40.02421,12.384224,57.09178,39.574894,3.3333335,2421,2403,2464,2988,225,100.03,30.18,281.27,73.94,270.54,84.67,131.3,110.5,123.3,107.2,63.34281,8.496383,28.160807,79.18414,20.815855,76.16339,23.836603,38.529255,32.425613,36.1817,31.457245,1,1,boay00
3E5B4AA444A616FEA74DBAA839958DF3,2,8,0,4,1,2,258,False,0,392,393.23465,49.83,2263,588,1674,300,589,288,21,3,45,17,449,4,296,35.28,10.217498,29.43,8.52327,104.1,91.6,46.76,104.36,30.01557,26.411394,13.482498,30.090536,1537,516593,45.99,157.95,161.54,216.28,132.49,16.72,6.18,49,0.13,66.82609,44.19941,43.21714,12.583452,59.17535,36.249966,4.57468,2858,2909,2777,3604,173.22,105.6,86.68,222.81,142.67,243.02,122.47,94.3,137.9,114.1,121.5,47.392612,23.715458,28.89193,60.96367,39.03634,66.49156,33.508442,27.310375,39.93744,33.044685,35.187813,0,1,boay00
2023-03-19.20.49 Morphan1 Ranked Standard Win,3,9,1,5,1,0,338,False,33.333332,359,393.79007,50.2,2304,280,1717,200,587,80,21,2,54,7,422,3,183,39.68,11.303233,39.63,11.288991,108.75,88.16,50.07,103.96,30.988203,25.121103,14.267396,29.623297,1463,492444,43.28,133.66,194.32,203.95,152.45,14.86,6.51,76,0.09,63.608696,52.340675,36.001724,11.6575985,54.93455,41.06287,4.002586,2794,2896,2697,3345,218.93,108.43,43.9,284.26,87,262.97,108.3,110.5,122.9,115.8,128.4,58.96946,11.824598,29.20595,76.566284,23.433712,70.82985,29.170145,31.477,35.00926,32.986755,36.575985,0,2,boay00
2023-03-20.01.49 Bc Ranked Standard Win,3,9,1,5,1,0,338,False,33.333332,359,393.83493,50.2,2304,280,1717,200,587,80,21,2,54,7,422,3,183,39.65,11.295975,39.51,11.256088,108.84,88.14,50.06,104.02,31.003248,25.10682,14.259671,29.630262,1458,492608,43.68,133.35,194.21,204.41,152.06,14.77,6.47,75,0.09,63.391304,52.31387,35.920162,11.765974,55.061417,40.960026,3.9785585,2793,2915,2676,3354,218.81,108.72,43.72,284.41,86.83,262.81,108.44,110.7,123.7,114.4,129,58.93872,11.776431,29.28485,76.61082,23.389183,70.79057,29.209427,31.537561,35.24116,32.591663,36.751087,0,2,boay00
2023-03-15.01.16 Clam- Ranked Standard Win,0,8,0,5,0,0,54,False,0,400,419.28705,44.59,2029,320,1293,169,736,151,15,2,64,14,208,32,344,32.41,11.16239,16.43,5.6586876,104.8,63.54,66.54,58.61,35.708202,21.649801,22.671982,19.970016,1531,430780,47.24,125.81,131.75,186.39,113.61,4.79,6.43,62,0.1,66.565216,43.225067,41.27625,15.498689,61.15358,37.274845,1.5715739,2891,2978,2784,3521,143.65,100.34,60.81,197.34,107.46,204.12,100.67,91.6,107.2,96.6,90.2,47.129265,19.950788,32.91995,64.744095,35.255905,66.9707,33.0293,31.54813,36.920956,33.27019,31.065954,0,1,boay00
2023-02-25.01.30 30 ping arab Ranked Standard Loss,2,5,0,1,1,0,202,False,0,377,363.5008,39.45,1950,505,1089,300,861,205,12,3,67,17,110,0,283,35.4,10.99823,6.97,2.1654706,158.42,91.62,41.69,33.85,48.657776,28.140547,12.80484,10.396829,1568,498817,51.19,140.03,142.24,210.1,106.97,16.39,11.15,90,0.12,68.17391,42.655792,41.99304,15.351166,63.006054,32.078808,4.915132,2580,2549,2583,3097,167.16,89.22,77.08,219.49,113.97,231.99,101.47,99.4,128.4,94,139.4,50.12895,23.115215,26.75583,65.82198,34.17801,69.57056,30.429436,30.882034,39.89188,29.204338,43.30941,2,0,boay00
2023-02-07.00.33 Allo Ranked Standard Win,2,5,1,3,0,0,204,False,50,435,449.93176,53.52,2472,643,1936,510,536,133,23,6,48,11,366,89,373,43.16,13.092674,23.82,7.225846,104.01,48.75,81.94,101.16,30.96826,14.514976,24.39707,30.119692,1561,508134,53.73,146.45,144.16,186.33,140.21,17.8,6.82,64,0.11,67.86957,41.865597,42.53064,15.603764,54.112217,40.71848,5.169309,2885,2661,3101,3632,148.34,95.56,100.44,204.26,140.07,231.76,112.58,92.4,142.2,107.1,120.5,43.079514,29.168844,27.75164,59.321,40.679,67.30557,32.69443,28.02973,43.13666,32.489002,36.55392,1,0,boay00
2023-01-24.01.11 ijsarge Ranked Standard Win,1,8,1,5,0,0,190,False,100,372,358.0012,48.11,2006,166,1212,49,794,117,14,1,59,10,207,50,107,37.08,11.02915,22.69,6.7489586,135.07,84.5,38.74,82,39.690285,24.830301,11.383739,24.095678,1503,493308,36.91,151.56,162.03,207.13,129.32,14.05,7.94,69,0.12,65.347824,46.228245,43.241085,10.53067,59.095577,36.895866,4.008559,2929,2930,2916,3353,192.41,113.36,44.73,251.44,99.07,263.18,87.32,128.4,98.4,95.9,131.2,54.895863,12.761769,32.34237,71.735466,28.264528,75.08702,24.912981,38.191547,29.268291,28.524687,39.024387,1,1,boay00
