,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-02-24.21.34 Ksacoo Ranked Standard Win,2,6,1,3,1,0,433,False,50,310,311.82416,47.6,1759,566,1103,401,656,165,15,5,57,15,412,103,330,28.8,8.50913,24.07,7.1116233,88.35,105.09,55.84,75.85,27.173746,32.322456,17.17467,23.32913,1418,459076,37.92,107.91,201.09,260.86,83.92,2.14,8.75,81,0.11,61.652172,57.964375,31.105156,10.930473,75.19312,24.190016,0.616857,3071,2978,3160,3523,224.75,91.06,31.1,270.39,76.52,238.5,108.42,147.9,93.7,2,105.4,106.5,64.786255,8.964861,26.248882,77.94241,22.057592,68.74784,31.252163,43.697926,27.684217,31.141052,31.466053,1,3,Cho Shmo
2023-02-24.20.34 GUIN19 Ranked Standard Loss,2,6,1,3,1,0,433,False,50,310,312.1377,47.6,1759,566,1103,401,656,165,15,5,57,15,412,103,330,28.88,8.541347,23.97,7.089199,88.26,105.23,55.57,75.85,27.164446,32.38743,17.103197,23.344927,1421,459053,37.94,107.34,201.17,260.68,83.66,2.12,9,80,0.11,61.782608,58.066097,30.982824,10.951074,75.24101,24.147089,0.61190325,3084,2995,3170,3522,224.34,91.1,31.02,270.04,76.42,238.2,108.26,149.5,95.2,2,106.7,109.1,64.75207,8.953415,26.294523,77.94261,22.057379,68.752525,31.247475,44.215073,28.155685,31.556845,32.26665,1,3,Cho Shmo
2022-12-17.14.21 Motiv Bowl Ranked Standard Win,1,8,0,4,0,0,144,False,0,308,344.7683,50.73,2005,569,1305,425,700,144,16,5,60,12,301,74,366,28.96,8.299659,40.34,11.561058,76.26,89.51,95.83,90.71,21.64571,25.406603,27.200478,25.747211,1489,505987,38.55,136.34,188.17,247.77,95.97,19.33,10.89,96,0.11,64.73913,51.8289,37.55302,10.61808,68.24304,26.43292,5.3240423,3282,3643,3022,4006,194.65,105.43,62.98,252.95,110.11,235.06,128,137.5,108,1,109.7,138.7,53.613728,17.346994,29.039278,69.67168,30.328321,64.74412,35.255882,39.406185,30.951767,31.43897,39.750095,0,1,Cho Shmo
2022-12-16.15.52 aidan Ranked Standard Win,3,5,1,2,0,1,272,False,33.333332,257,275.73923,54.25,1548,541,825,347,723,194,10,4,62,17,183,52,85,20.23,6.005819,43.42,12.890393,65.86,103.93,92.3,78.88,19.315481,30.480684,27.069828,23.133997,1369,453914,23.75,120.07,210.28,240.48,98.34,15.27,8.86,77,0.12,59.52174,59.384354,33.9085,6.7071447,67.91494,27.7726,4.312463,3498,3553,3443,4049,167.48,100.36,86.26,216.91,137.19,265.32,88.78,167.1,94.1,1,79.1,159.3,47.29738,24.360352,28.342278,61.256706,38.743294,74.927986,25.072014,49.608124,27.936113,23.48296,47.292484,0,0,Cho Shmo
2022-12-03.18.55 Sir Squirt Ranked Standard Win,2,3,0,1,0,0,128,False,0,279,283.2713,50.27,1535,510,888,355,647,155,14,5,55,13,427,144,174,11.68,3.5924091,29.61,9.107126,82.88,100.61,57.09,71.01,26.599056,32.289227,18.322155,22.789564,1465,461056,29.56,137.78,163.45,233.46,90.32,7.01,9.51,87,0.11,63.695652,49.412018,41.651806,8.936184,70.5765,27.30433,2.1191692,3328,3134,3402,3939,142.16,111.79,76.85,208.87,121.93,239.52,91.28,113,101.9,,89.4,124.6,42.974606,23.231558,33.79383,63.140873,36.85913,72.40629,27.593714,34.75533,31.341309,27.496693,38.32313,1,2,Cho Shmo
2022-11-13.19.09 werdnA Ranked Standard Win,4,2,4,0,0,0,581,True,100,295,291.58142,49.9,1259,139,705,0,554,139,9,0,47,12,107,0,152,19.63,7.577102,21.77,8.403134,62.5,74.81,56.62,62.78,24.34654,29.141834,22.056017,24.455612,1438,363649,9.27,116.91,141.35,179.85,76.83,10.85,5.27,56,0.09,62.52174,52.8352,43.69977,3.465032,67.226105,28.718275,4.0556197,3258,3403,3102,4014,115.75,85.6,66.19,154.9,112.64,208.94,58.59,102.4,73.7,,68.3,94.3,43.264557,24.740225,31.995214,57.897884,42.10212,78.099655,21.900349,39.525997,28.447906,26.363533,36.39943,1,1,Cho Shmo
2022-11-12.22.38 Nickel Ranked Standard Win,3,3,0,1,1,0,192,False,0,253,258.81134,44.06,1416,506,910,315,506,191,11,4,45,17,190,85,159,58.22,17.735401,29.51,8.989552,131.46,82.82,76.33,43.51,39.34515,24.787502,22.845085,13.022267,1422,461766,21.5,135.71,182.88,227.39,111.17,1.53,5.04,48,0.1,61.826088,53.774,39.904144,6.3218555,66.86172,32.688408,0.44988093,2918,2899,2809,3712,132.48,120.64,86.97,184.25,155.84,246.91,93.18,90,104.6,,107.6,69.1,38.954395,25.572643,35.472965,54.176838,45.823166,72.60137,27.39863,27.416456,31.864016,32.777897,21.049746,1,0,Cho Shmo
2022-10-23.20.09 O2 Ranked Standard Loss,1,8,0,4,1,1,214,False,0,268,263.3672,44.88,1490,181,843,97,647,84,10,1,55,7,156,2,171,42.41,12.493739,34.56,10.181176,105.68,91.46,69.95,63.05,32.010662,27.7034,21.18798,19.09796,1432,473084,22.02,140.42,193.85,248.4,104.87,3.04,8.14,79,0.1,62.260868,54.407925,39.411713,6.1803584,69.71458,29.432236,0.85318965,3108,3276,3030,3669,176.52,110.1,69.69,240.94,115.36,254.84,101.46,116.5,109.6,1,106.8,108.5,49.54113,19.558811,30.900059,67.622795,32.377213,71.524,28.476004,34.32022,32.28752,31.46266,31.963469,1,1,Cho Shmo
2022-09-11.14.18 Ziggy. Ranked Standard Loss,3,9,3,2,2,0,667,True,100,283,265.65894,42.29,1529,416,591,87,938,329,7,1,80,28,112,12,190,22.69,6.570527,20.86,6.040599,114.2,109.83,69.82,48.52,33.35573,32.07933,20.393143,14.1718025,1443,489613,21,150.37,191.31,227.74,118.64,16.3,7.69,68,0.11,62.739132,52.74898,41.460793,5.7902284,62.793648,32.712032,4.49432,2927,2686,3152,3835,152.43,134.72,75.52,223.54,139.14,254.98,107.7,103.7,117.9,2,120.8,112.3,42.029945,20.823338,37.14672,61.6356,38.3644,70.304405,29.6956,30.02925,34.14126,34.981033,32.51962,0,0,Cho Shmo
2022-09-08.17.44 Doc.^^ Ranked Standard Loss,3,7,1,2,1,0,266,False,33.333332,260,278.8241,56.03,1742,446,930,185,812,261,14,2,70,22,493,18,259,16.14,4.305608,51.07,13.623754,80.06,87.25,112.61,102.18,20.952631,22.834337,29.471344,26.741692,1400,514717,24.47,152.57,206.47,266.46,112.42,4.64,9.8,93,0.11,60.869564,53.836926,39.782536,6.3805375,69.47747,29.312681,1.2098455,3323,3375,3280,3939,165.29,127.6,90.63,225.54,157.98,275.5,108.02,122.1,117.5,1,106.5,139.2,43.098145,23.631102,33.270756,58.807888,41.192116,71.83459,28.165417,32.572163,31.345037,28.410608,37.133865,0,1,Cho Shmo
2022-08-17.19.50 MutekinoKage24 Ranked Standard Loss,1,9,1,3,2,0,288,False,100,291,326.68628,48.57,1813,313,1177,155,636,158,15,2,53,14,332,44,278,37.4,11.231906,35.58,10.685327,102.6,103.48,63.56,61.65,30.969845,31.235472,19.185608,18.609074,1473,474839,29.72,132.21,179.47,233.06,99.17,9.18,7.88,75,0.11,64.04348,52.568836,38.725838,8.705331,68.26397,29.04719,2.6888494,3200,2752,3517,3648,170.09,104.17,67.15,228.38,113.02,246.34,95.06,96.2,110.8,,102,127.5,49.81987,19.668436,30.511703,66.89514,33.104862,72.15583,27.844172,28.890623,33.275272,30.63247,38.29059,1,2,Cho Shmo
2022-08-13.17.00 ItsTimmmyTime Ranked Standard Win,4,5,1,3,2,1,390,False,25,217,242.00926,43.18,1402,249,669,70,733,179,9,1,57,16,250,32,183,23.43,6.7407002,35.96,10.345522,93.78,133.5,68.66,51.34,27.004147,38.441605,19.770792,14.78346,1284,428005,17.87,118.97,227.91,274,89.69,1.07,23.62,221,0.11,55.826088,62.483894,32.61686,4.899246,75.11788,24.58877,0.29334357,3634,3869,3461,4146,197.73,90.69,76.34,243.78,120.97,247.88,116.88,120.2,120.1,1,87.2,135.2,54.208244,20.928827,24.862923,66.834816,33.16518,67.95701,32.042988,34.58097,34.552204,25.087029,38.8964,2,2,Cho Shmo
2022-08-03.17.10 torvamia on soundcloud Ranked Standard Loss,3,7,0,5,1,1,290,False,0,248,267.46518,49.19,1511,352,955,200,556,152,11,2,48,13,145,0,258,38.68,11.411376,29.79,8.788648,69.37,127.52,76.97,64.81,20.483068,37.653175,22.72714,19.136623,1419,458917,21.89,126.06,211.41,237.27,104.06,18.04,6.1,58,0.11,61.695652,58.82959,35.07903,6.091385,66.02387,28.956226,5.019896,3101,3117,3024,3812,173.74,114.87,70.76,235.28,124.08,238.83,120.54,109.2,127.3,1,112.5,130.6,48.34572,19.690014,31.964272,65.471954,34.52805,66.45797,33.542034,32.21619,37.556053,33.18976,38.529625,1,0,Cho Shmo
2022-07-31.17.03 JeffMasters Ranked Standard Win,1,3,0,1,0,0,90,False,0,247,257.52747,46.07,1387,248,940,200,447,48,12,2,39,4,273,0,207,31.1,9.624014,44.11,13.650008,110.87,77.73,53.57,80.94,34.31339,24.056824,16.579493,25.050291,1362,429891,17.86,103.29,210.76,238.32,83.24,10.35,8.63,59,0.15,59.217392,63.499146,31.119884,5.380977,71.8026,25.079088,3.1183152,3541,3613,3368,3987,206.27,95,30.64,260.99,70.92,257.43,74.48,135.3,92.7,1,87.7,147.7,62.146366,9.231418,28.622217,78.63277,21.367239,77.56018,22.43982,41.869102,28.686369,27.1391,45.70633,0,1,Cho Shmo
Turssva - Ranked Standard - Loss,1,4,0,0,2,1,272,False,0,273,311.7828,60.04,1200,480,725,340,475,140,9,4,40,12,176,62,200,13.14,5.6900363,26.29,11.384402,21.74,81.32,65.73,65.39,9.283457,34.72542,28.068153,27.922964,1397,318766,19.78,78.22,138.49,146.81,85.69,3.99,4.75,41,0.12,60.739132,58.56062,33.075394,8.363991,62.07873,36.23409,1.6871749,3486,3469,3438,3937,122.64,67.78,46.07,165.71,70.78,171.18,65.31,71.1,99.5,,69.4,101.1,51.858433,19.48074,28.660833,70.07062,29.929382,72.38361,27.61639,30.788551,43.08665,30.052399,43.779503,0,0,Cho Shmo
2022-07-30.17.29 Saint Ranked Standard Loss,4,9,1,3,1,3,523,False,25,229,254.3568,52.49,1479,289,798,165,681,124,10,2,61,11,220,41,133,33.99,9.742605,33.98,9.739738,75.04,118.11,64.24,92.19,21.46576,33.78626,18.376339,26.371647,1396,476798,18.42,127.18,226.75,254.78,110.18,7.39,9.48,83,0.11,60.695652,60.897003,34.156036,4.9469585,68.424866,29.590439,1.9846917,3236,3538,2928,3612,174.81,133.38,64.16,241.31,131.04,290.25,82.1,139.8,118.8,1,125.2,150.4,46.94776,17.2311,35.821136,64.80731,35.192696,77.95085,22.049147,40.071083,34.051823,35.886265,43.109375,1,0,Cho Shmo
2022-06-08.21.02 itsSynon Ranked Standard Loss,5,5,2,1,2,0,509,False,40,272,284.2423,54.3,1554,211,865,100,689,111,13,1,62,10,468,0,190,16.72,5.0970945,46.32,14.12066,67.11,105.92,61.65,104.2,19.80347,31.255901,18.19228,30.748346,1465,474719,29.9,130.1,182.53,246.24,93.68,2.61,11.02,92,0.12,63.695652,53.288765,37.98208,8.729162,71.888596,27.34943,0.7619771,3276,3192,3409,3833,177.21,108.15,57.18,240.84,101.69,247.62,94.92,110.4,107.6,,90.7,126.2,51.734104,16.69294,31.572954,70.31209,29.68791,72.289375,27.710634,33.65546,32.80188,27.64991,38.47209,0,0,Cho Shmo
2022-05-09.19.10 TM10102 Ranked Standard Win,3,3,1,1,1,0,265,False,33.333332,243,245.89117,47.8,1349,95,645,0,704,95,7,0,63,8,69,0,183,20.56,6.246012,31.95,9.70623,86.69,121.24,59.72,65.94,25.98699,36.344017,17.902216,19.766779,1382,448618,18.55,120.26,204.88,241.19,96.1,6.39,9.57,83,0.12,60.086956,59.61186,34.990833,5.3973055,70.17865,27.962055,1.8592876,3465,3740,3267,3883,175.1,100.53,68.05,225.47,118.22,263.95,79.73,146.1,110.1,1,85.2,141,50.94856,19.800398,29.251049,65.60272,34.397278,76.801094,23.198906,44.38436,33.44776,25.883282,42.835007,0,0,Cho Shmo
2022-02-07.19.20 DrStein Ranked Standard Win,1,4,0,2,0,1,260,False,0,291,312.05676,49.74,2772,677,1762,484,1010,193,22,6,88,17,450,115,413,53.72,10.079178,51,9.56884,159.92,145.9,100.01,113.6,30.787594,28.08848,19.253798,21.870127,1371,706371,38.84,182.82,316.53,377.94,153.03,7.22,14.47,138,0.1,59.608696,58.8138,33.969418,7.216782,70.22428,28.434198,1.3415338,3314,3315,3217,3924,229.56,205.09,103.54,348.47,189.72,428.17,110.02,232.6,151.2,,153,222.5,42.65408,19.23856,38.10736,64.74851,35.25149,79.5574,20.442595,43.641415,28.368795,28.706518,41.74641,4,4,Cho Shmo
