,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-03-26.23.26 JadenD Ranked Standard Loss,4,7,0,1,0,0,176,False,0,365,382.1525,47.96,2047,264,1404,83,643,181,16,1,56,15,208,16,351,50.7,15.775226,23.54,7.3244343,150.28,54.5,34.19,86.09,46.231464,16.766136,10.518058,26.48434,1505,473078,54.21,118.4,157.47,196.59,123.06,10.42,8.5,67,0.13,65.434784,47.70662,35.870094,16.423292,59.560093,37.283,3.1569061,2763,2797,2730,3373,173.67,83.67,72.74,217.22,112.86,246.22,83.86,127.9,80.3,,100.3,104.1,52.614513,22.03708,25.348398,65.80829,34.191708,74.59403,25.40596,39.795883,24.98522,31.208187,32.390553,0,1,edencroww
2023-03-26.23.26 BestMan Ranked Standard Loss,4,7,0,1,0,0,176,False,0,367,384.51965,47.7,2060,276,1404,83,656,193,16,1,57,16,208,16,351,50.81,15.8069935,23.55,7.326406,150.25,54.57,33.98,86.25,46.22366,16.788187,10.453776,26.53438,1502,473066,53.99,118.9,157.25,196.32,123.44,10.38,8.31,67,0.12,65.304344,47.63131,36.015026,16.353668,59.46568,37.390198,3.1441205,2752,2789,2714,3376,173.61,83.61,72.92,217.22,112.92,246.35,83.79,127.8,80.9,,101.8,102.7,52.58678,22.087599,25.325619,65.796326,34.20367,74.61986,25.38014,39.758587,25.167994,31.669985,31.949974,0,1,edencroww
2023-03-19.22.46 rsc pots frank. Ranked Standard Loss,2,5,0,0,2,0,224,False,0,405,405.97278,56.94,2166,510,1405,167,761,343,20,3,55,14,652,134,406,23.27,7.2691493,55.03,17.19043,85.68,44.21,63.88,126.27,26.771652,13.813898,19.960005,39.45444,1487,467952,46.3,124.44,152.22,203.16,101.6,18.2,10.2,70,0.15,64.652176,47.132774,38.53109,14.336141,62.90562,31.459002,5.6353726,2923,2692,3149,3894,159.29,102.43,61.25,213.29,109.67,243.25,79.71,131.7,89.6,,100.3,100.9,49.320366,18.96461,31.71502,66.04224,33.957767,75.318924,24.681076,41.140823,27.989504,31.332,31.51943,3,1,edencroww
2023-03-19.22.46 rossy2saucyy Ranked Standard Loss,2,5,0,0,2,0,224,False,0,405,406.0235,56.94,2166,410,1505,167,661,243,21,3,54,13,652,134,392,23.18,7.24194,55.05,17.198826,85.63,44.23,63.85,126.3,26.758537,13.821443,19.952501,39.467514,1486,467945,46.5,124.09,152.39,203.67,101.13,18.18,10.21,71,0.14,64.608696,47.18249,38.420338,14.397177,63.059635,31.311539,5.628832,2916,2689,3136,3887,159.35,102.4,61.24,213.29,109.7,242.69,80.3,133.2,90.4,,101.7,102.7,49.33589,18.960339,31.703766,66.0361,33.9639,75.13855,24.861454,41.614597,28.24294,31.773308,32.08573,3,1,edencroww
2023-03-19.22.39 ethereal. Ranked Standard Win,2,7,1,4,0,0,196,False,50,431,451.81833,45.43,2081,324,1321,176,760,148,17,2,58,13,387,30,336,32.49,11.756831,34.56,12.50588,132.55,47.75,46.58,56.69,46.74331,16.838875,16.42628,19.991535,1618,434625,55.87,114.63,117.24,165.15,114.04,8.55,7.84,60,0.13,70.347824,40.745117,39.83805,19.416836,57.39557,39.633003,2.9714327,3220,3024,3375,3783,169.51,69.08,49.15,211.05,76.69,218.01,69.73,115,69.2,2,77.3,102.1,58.910824,17.081394,24.007786,73.347466,26.652534,75.76632,24.233686,41.613895,25.040707,27.971777,36.9459,1,1,edencroww
2023-03-19.23.38 Rubenofski Ranked Standard Win,2,7,1,4,0,0,196,False,50,430,451.63858,45.43,2081,324,1321,176,760,148,17,2,58,13,387,30,336,32.56,11.777473,34.68,12.544311,132.44,47.85,46.67,56.79,46.67489,16.863436,16.447577,20.014097,1616,434794,56.05,114.25,117.67,165.42,114,8.55,8.18,60,0.14,70.26087,40.861897,39.67427,19.463833,57.44349,39.58746,2.9690595,3221,2999,3412,3789,169.95,68.82,49.2,211.25,76.72,218.17,69.8,114.8,68,2,76.4,102.6,59.016563,17.085114,23.898323,73.35834,26.641665,75.76136,24.238638,41.524998,24.596687,27.635101,37.11206,1,1,edencroww
2023-03-19.23.32 Rubenofski Ranked Standard Loss,2,9,1,2,2,2,402,False,50,417,450.07288,52.65,2316,397,1752,241,564,156,21,3,50,13,362,58,312,31.43,10.179757,25.29,8.191093,123.34,48.31,63.98,81.47,38.89625,15.234942,20.176601,25.692213,1484,446119,59.2,105.56,164.19,203.55,110.28,15.12,6.71,54,0.12,64.521736,49.91336,32.08998,17.996655,61.878704,33.52485,4.596443,3272,3197,3333,3811,178.79,95.71,54.46,237.35,91.59,245.62,83.33,126.8,103.1,1,87.5,125.5,54.350075,16.555204,29.094723,72.15601,27.843983,74.66788,25.332117,41.068825,33.39271,28.34008,40.647774,2,0,edencroww
2023-03-19.22.33 ethereal. Ranked Standard Loss,2,9,1,2,2,2,402,False,50,417,450.27707,52.65,2316,397,1752,241,564,156,21,3,50,13,362,58,312,31.52,10.213538,25.19,8.162406,123.14,48.24,64.12,81.47,38.849102,15.219106,20.229046,25.702747,1478,446152,59.57,105.3,163.91,203.7,110.01,15.07,6.64,54,0.12,64.26087,49.854,32.027493,18.118498,61.95632,33.460064,4.583612,3287,3219,3337,3815,178.81,95.45,54.52,236.94,91.85,245.58,83.2,128.1,104.4,1,89.7,127,54.38591,16.582518,29.03157,72.06423,27.935764,74.69433,25.305676,41.508705,33.829105,29.065813,41.152264,2,0,edencroww
2023-03-19.23.16 r4w. Ranked Standard Loss,2,4,1,1,0,2,300,False,50,458,532.43524,53.04,1357,23,1030,0,327,23,11,0,31,2,72,0,138,24.67,16.132618,20.61,13.477635,69.17,26.44,12.14,43.02,45.877827,17.536644,8.051999,28.533527,1529,222850,23.99,65.95,74.65,97.63,53.76,13.2,3.93,31,0.13,66.478264,45.35512,40.069256,14.575611,59.317093,32.662983,8.019929,3404,3723,2897,3717,93.44,50.84,20.32,125.13,39.46,142.74,21.85,64.1,26.5,,44.2,51,56.76792,12.345078,30.886997,76.025276,23.974726,86.72459,13.275411,41.917343,17.329323,28.904003,33.350773,0,1,edencroww
2023-03-07.00.13 skatesgame -_- Ranked Standard Loss,1,3,0,0,0,2,220,False,0,399,447.40347,54.83,2408,457,1736,258,672,199,20,3,59,18,292,45,332,33.21,10.283962,51.11,15.82696,104.1,48.76,55.72,121.26,31.560757,14.782926,16.89304,36.76328,1498,474003,50.06,120.33,161.27,198.06,117.76,15.84,6.05,50,0.12,65.13043,48.6251,36.28113,15.093771,59.71778,35.50624,4.775975,2803,2928,2635,3524,119.14,141.08,71.43,192.19,139.46,265.39,66.27,120,106.3,,123.2,104,35.923412,21.537764,42.53882,57.949642,42.050354,80.0187,19.981304,37.159756,32.91735,38.150684,32.205124,0,1,edencroww
2023-03-06.22.52 Jxffa Ranked Standard Win,3,3,0,1,0,3,331,False,0,445,462.21768,49.76,2565,398,1889,232,676,166,23,3,61,15,440,72,487,37.63,11.301658,43.02,12.920471,122.9,66.18,59.56,82.45,37.119816,19.988523,17.989067,24.902596,1548,500074,61.43,128.31,151.9,192.52,132.08,17.05,7.66,64,0.12,67.304344,44.462006,37.55708,17.980917,56.350067,38.659447,4.990487,2872,2742,3091,3550,155.85,114.55,71.25,217.22,124.42,280.81,60.83,126.4,88.7,1,124,104.5,45.61686,20.854675,33.52846,63.581547,36.41845,82.1947,17.805292,37.96252,26.639837,37.24171,31.385153,0,2,edencroww
2023-03-06.22.47 Choco Ranked Standard Loss,2,3,2,1,1,0,421,True,100,446,436.80356,45.82,2365,381,1696,200,669,181,19,2,51,16,213,0,146,43.54,13.402698,38.04,11.709661,120.61,72.14,56.27,78.48,36.82748,22.027481,17.181679,23.96336,1440,455399,38.36,121.45,174.39,183.71,129.95,20.55,10.04,82,0.12,62.608696,52.181328,36.340515,11.478156,54.968433,38.88274,6.1488285,2792,2559,3075,3771,153.29,103.67,77.24,209.76,124.44,272.46,61.74,147.4,73.9,,113.7,94.7,45.86774,23.111908,31.020346,62.76481,37.235188,81.52604,18.473969,45.37339,22.748262,34.999695,29.15102,1,0,edencroww
