,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU H GA vs BDS G1 2023-01-27.16.07,7,6,3,0,3,0,741,True,42.857143,448,459.0857,55.53,2462,675,1744,385,718,290,22,5,69,27,391,129,255,31.58,9.814464,38.53,11.974392,91.33,52.89,63.79,119.97,27.846209,16.125982,19.449356,36.57845,1576,502443,53.39,139.55,140.49,183.58,120.7,29.16,4.78,40,0.12,68.521736,42.134785,41.852863,16.012358,55.05638,36.198418,8.745201,2662,2486,2862,3465,148.59,98.28,86.58,196,137.44,267.57,65.87,96.2,102,,108.9,93.6,44.5614,25.96491,29.473682,58.78119,41.21881,80.24532,19.75468,29.897133,31.699663,33.84405,29.089102,2,0,M0nkey M00n
EU O BDS vs OXG G1 2023-01-27.17.01,6,4,3,1,1,2,687,True,50,432,462.49707,49.73,2635,632,1828,361,807,271,21,4,77,25,317,49,503,48.55,14.202551,31.39,9.182658,128.06,69.27,47.53,102.99,36.81472,19.913755,13.663937,29.607592,1690,557823,81.08,143.97,131.7,188.36,140.29,28.09,4.28,35,0.12,73.478264,36.916607,40.35599,22.7274,52.80036,39.325558,7.874082,2833,2850,2804,3636,160.49,110.1,86.16,218.24,138.5,278.42,78.32,113.6,115.8,,121,116.3,44.986687,24.151367,30.861948,61.17621,38.823795,78.04564,21.954363,33.231922,33.875496,35.39668,34.021767,1,1,M0nkey M00n
EU A MST vs BDS G2 2023-01-27.18.58,3,9,2,3,2,0,453,False,66.666664,461,482.1205,47.87,2701,293,1784,100,917,193,19,1,74,16,132,0,371,41.53,12.354971,20.95,6.232522,131.18,78.09,64.2,66.15,38.625523,22.993347,18.90348,19.477654,1610,526871,60.9,152.12,137.41,186.96,133.82,29.65,4.19,38,0.11,70,39.211826,43.409527,17.378649,53.351593,38.18737,8.461033,3170,3059,3325,3661,168.21,112.23,70,232.5,117.94,260.66,89.77,120.4,108.4,,105.9,131.7,47.999657,19.974888,32.02545,66.34517,33.654835,74.382904,25.6171,35.81841,32.248466,31.504728,39.180103,0,1,M0nkey M00n
EU P-E KC vs BDS G5 2023-02-25.13.40,2,11,0,2,4,0,412,False,0,402,412.04324,44.17,2306,480,1488,200,818,280,17,2,75,26,228,0,293,42.69,12.713303,15.05,4.481968,139.22,79.06,49.11,75.26,40.63038,23.073105,14.332408,21.964102,1545,509806,48.9,143.26,152.29,194.13,130.45,19.87,4.92,35,0.14,67.17391,44.212513,41.590942,14.196546,56.359413,37.871967,5.7686167,2700,2584,2789,3351,166.72,113.08,64.66,226.5,117.95,258.98,85.47,143.7,74.9,,102.9,100.2,48.40039,18.77141,32.828194,65.757,34.242996,75.18653,24.813469,42.7946,22.305607,30.644152,29.840078,0,1,M0nkey M00n
EU P-E KC vs BDS G5 2023-02-25.19.40,2,11,0,2,4,0,412,False,0,402,411.847,44.17,2306,480,1488,200,818,280,17,2,75,26,228,0,294,42.75,12.725107,15.08,4.488763,139.28,79.2,49.04,75.34,40.622997,23.099808,14.303215,21.973984,1549,509783,48.91,143.34,152.44,193.56,131.29,19.84,4.86,35,0.14,67.347824,44.225246,41.585194,14.189562,56.15481,38.0893,5.755897,2695,2578,2786,3349,166.87,113.06,64.75,226.68,118,259.22,85.47,143.8,75.4,,103.2,100.1,48.41302,18.785542,32.80144,65.76535,34.234653,75.203804,24.796194,42.803986,22.443815,30.718855,29.796099,0,1,M0nkey M00n
EU P-E KC vs BDS G4 2023-02-25.13.32,4,8,2,2,1,1,500,False,50,404,399.83475,43.64,2258,491,1372,275,886,216,15,3,79,20,142,28,258,23.28,6.8704996,23.89,7.050525,131.54,105.26,52.97,49.58,38.76234,31.018126,15.609254,14.610286,1563,507512,57.9,131.08,162.7,201.11,126.76,23.81,4.23,32,0.13,67.95652,46.26365,37.272522,16.46383,57.185513,36.044132,6.7703595,2800,2503,3087,3480,184.44,93.2,74.04,230.92,120.76,264.76,86.92,140.5,105.5,,111.2,119.1,52.445408,21.05323,26.501366,65.661964,34.338036,75.28435,24.71565,41.465,31.13564,32.81785,35.149334,2,2,M0nkey M00n
EU P-E KC vs BDS G4 2023-02-25.19.32,4,8,2,2,1,1,500,False,50,404,399.69318,43.64,2258,491,1372,275,886,216,15,3,79,20,142,28,276,23.26,6.862167,24.02,7.086382,131.44,105.66,52.96,49.56,38.70208,31.111242,15.5939,14.59278,1562,507501,57.9,131.32,162.45,201.21,126.47,24,4.24,32,0.13,67.91304,46.193874,37.341827,16.464298,57.213947,35.96167,6.824386,2794,2507,3079,3483,184.35,93.47,73.86,230.77,120.91,264.92,86.76,138.8,105.5,,110.8,119,52.41981,21.002047,26.578138,65.619316,34.380688,75.32985,24.670153,40.948784,31.124617,32.688225,35.107388,2,2,M0nkey M00n
EU P-E KC vs BDS G3 2023-02-25.13.24,4,8,0,2,2,0,400,False,0,447,450.9212,52.12,3610,762,2648,492,962,270,31,5,89,26,502,18,381,39.71,8.266889,45.59,9.490996,161.26,105.17,79.96,132.33,33.68566,21.969002,16.702875,27.642466,1523,711633,74.56,188.95,219.18,270.5,170.39,41.81,7.61,60,0.13,66.21739,45.408024,39.145206,15.446767,56.038948,35.29936,8.661695,2765,2547,2947,3455,221.98,158.54,102.17,302.19,180.51,360.61,122.09,198.4,110.9,1,149.9,162.1,45.98811,21.166794,32.845097,62.6041,37.395897,74.70686,25.293144,41.303215,23.087332,31.20641,33.746227,1,3,M0nkey M00n
EU P-E KC vs BDS G3 2023-02-25.19.24,4,8,0,2,2,0,400,False,0,448,451.10336,52.19,3608,762,2648,492,960,270,31,5,89,26,502,18,379,39.81,8.295651,45.4,9.460501,161.11,104.94,80.3,131.97,33.682472,21.93929,16.787926,27.590317,1525,711620,74.8,188.23,219.24,270.43,170.06,41.79,7.55,61,0.12,66.304344,45.46001,39.030003,15.509984,56.073235,35.261673,8.665091,2777,2547,2969,3453,221.5,158.56,102.21,301.9,180.37,360.74,121.53,197.3,110.5,1,149.8,161.1,45.92863,21.193523,32.87785,62.59979,37.40021,74.80042,25.199577,41.113586,23.02611,31.215487,33.570194,1,3,M0nkey M00n
EU P-E KC vs BDS G2 2023-02-25.13.13,4,5,1,3,1,0,368,False,25,410,455.9415,53.97,2588,1004,1670,757,918,247,23,8,77,22,640,45,347,24.27,7.126288,35.59,10.450128,80.83,102.23,68.15,99.28,23.062,29.167738,19.444208,28.32606,1532,509669,50.15,129.42,172.42,213.16,122.87,15.96,4.86,33,0.15,66.608696,48.98435,36.76809,14.247564,60.55854,34.90724,4.5342197,2751,2497,2965,3444,125.12,140.42,86.46,196.14,155.85,250.55,101.44,109.8,117.2,,103.2,134.5,35.545456,24.5625,39.892044,55.723175,44.27683,71.181,28.819002,32.240067,34.412895,30.30214,39.492615,2,1,M0nkey M00n
