,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU P-K KC vs TL G7 2023-02-26.19.11,1,6,1,3,1,0,325,False,100,410,410.15027,49.37,2279,407,1436,100,843,307,18,1,76,27,404,3,263,57.86,17.35505,34.49,10.345242,134.03,66.02,66.56,72.94,39.47283,19.44338,19.602415,21.481373,1627,534941,71.26,142.66,133.77,182.94,143.6,21.15,7.81,73,0.11,70.73913,38.473927,41.030804,20.495268,52.615837,41.301163,6.083005,3022,2856,3244,3702,174.57,110.41,62.71,232.36,115.33,265.93,81.76,117.6,95.4,103.7,121.5,50.20852,18.036182,31.755299,66.82964,33.170353,76.4848,23.5152,35.274002,28.615133,31.104712,36.4438,2,0,Vati
EU P-K KC vs TL G6 2023-02-26.19.02,5,6,0,1,1,1,258,False,0,422,407.52097,52.88,2525,751,1598,532,927,219,21,6,73,20,561,77,141,23.75,6.3885303,65.41,17.594687,101.28,75.75,74.48,116.23,27.541197,20.598791,20.25344,31.606567,1539,558948,72.2,134.86,176.23,191.87,172.93,18.49,8.72,74,0.12,66.91304,45.978245,35.18485,18.836912,50.058704,45.117275,4.8240237,2850,2731,2865,3556,165.42,122.82,95.04,226.55,156.74,285.37,97.91,102.5,118,112.8,125.4,43.15905,24.796494,32.04446,59.10668,40.89332,74.454704,25.545294,27.57155,31.740908,30.342155,33.731438,0,1,Vati
EU P-K KC vs TL G5 2023-02-26.18.51,2,9,0,3,2,0,317,False,0,458,493.36102,48.03,2731,917,1746,488,985,429,21,6,80,32,364,113,488,39.42,11.868846,40.84,12.29639,112.53,88.23,54.29,79.19,33.667423,26.397198,16.242819,23.692554,1736,566972,93.11,143.53,104.07,180.58,145.16,14.97,6.14,57,0.11,75.478264,30.545036,42.12673,27.328224,53.001087,42.60515,4.393766,2948,2525,3228,3701,140.61,97.41,102.69,197.66,143.05,218.5,122.21,94,142.1,105,125.4,41.2697,30.14,28.590296,58.014145,41.98585,64.13079,35.869217,28.30217,42.784454,31.614126,37.756298,4,1,Vati
EU P-K KC vs TL G4 2023-02-26.18.44,6,6,1,4,1,0,418,False,16.666666,403,444.957,51.77,2733,642,2010,392,723,250,25,5,68,24,550,126,365,41.24,11.190405,58.99,16.006838,120.91,70.83,70.04,117.73,31.859503,18.66354,18.455376,31.02158,1641,581004,84.63,148.01,152.81,205.62,161.75,18.08,6.56,55,0.12,71.347824,39.64457,38.39927,21.956154,53.345444,41.96394,4.6906214,2799,2840,2730,3636,165.09,127.42,92.94,227.46,157.92,281.84,103.61,127.8,123.1,126.9,128.5,42.830456,24.112076,33.057465,59.022263,40.977737,73.11973,26.880268,34.678318,33.40298,34.434105,34.86826,0,2,Vati
EU P-K KC vs TL G3 2023-02-26.18.35,6,4,2,2,1,1,602,True,33.333332,444,472.2272,51.62,2627,485,2086,298,541,187,25,4,50,17,378,27,237,49.51,14.833123,48.19,14.437654,114.65,53.2,48.16,130.59,33.078476,15.349105,13.8949795,37.677437,1593,524387,66.76,135.16,149.35,169.64,161.54,20.1,8.27,73,0.11,69.26087,42.51715,38.477524,19.005323,48.29196,45.986107,5.7219315,2574,2385,2870,3388,145.37,119.58,86.33,208.03,143.25,285.58,65.7,108.1,118.6,143.1,102.9,41.382942,24.575836,34.04122,59.220566,40.779434,81.296974,18.70303,32.3866,35.532387,42.872555,30.82869,1,0,Vati
EU P-K KC vs TL G2 2023-02-26.18.27,1,14,0,2,2,0,196,False,0,361,401.24127,48.4,2155,306,1388,81,767,225,15,1,68,16,162,18,174,37.04,11.494182,34.98,10.854926,124.92,85.49,44.53,75.1,37.849957,25.90292,13.492304,22.754816,1532,484254,55.16,119.83,155.66,182.05,129.93,18.68,8.73,74,0.12,66.608696,47.07697,36.240738,16.682293,55.056557,39.29414,5.6493077,2660,2522,2699,3462,193.62,84.51,52.52,243.04,87.62,218.2,112.46,100.1,125.4,102.2,114.3,58.55739,15.883865,25.558748,73.50148,26.498518,65.989235,34.010765,31.06284,38.913887,31.714508,35.469357,3,1,Vati
EU P-K KC vs TL G1 2023-02-26.18.20,2,4,0,1,1,1,299,False,0,389,393.13962,46.49,2212,396,1365,89,847,307,16,1,62,20,266,10,203,49.97,14.801979,54.19,16.052015,123.86,61.11,65.96,95.79,35.72335,17.625174,19.023996,27.62748,1640,547871,77.81,142.11,129.31,168.69,157.98,22.57,8.32,65,0.13,71.304344,37.027176,40.692383,22.280447,48.30203,45.23537,6.4626045,2535,2514,2562,3424,167.34,105.34,76.55,226.5,122.73,241.62,107.62,86.6,152.5,120,113.8,47.916847,21.919655,30.163504,64.85697,35.14303,69.18452,30.815485,25.652418,45.173138,35.546078,33.70953,1,0,Vati
EU P-K KC vs TL G0 2023-02-26.18.12,1,2,0,2,0,0,66,False,0,532,545.6905,55.15,841,100,509,0,332,100,7,0,22,9,194,3,109,7.31,7.9052663,9.25,10.003244,23.15,12.28,14.33,27.1,30.119698,15.977101,18.644289,35.25891,1811,145079,29.38,31.97,23.7,33.57,51.47,0,1.38,14,0.1,78.73913,27.865963,37.589657,34.544388,39.47554,60.52446,0,3919,2180,4531,5610,42.62,21.96,20.47,52.32,32.73,59.6,25.45,57.1,31.4,39.5,53.3,50.111702,24.068195,25.820107,61.516754,38.483242,70.07642,29.923573,61.749756,33.95696,42.716557,57.640316,0,2,Vati
EU P-I KC vs OXG G5 2023-02-26.11.57,4,7,1,2,1,1,394,False,25,423,444.229,42.35,2673,876,1841,518,832,358,22,6,65,24,370,81,367,73.49,20.35565,40.66,11.262222,159.12,62.48,57.37,96.86,42.33829,16.624537,15.26488,25.77229,1622,574295,73.6,152.61,158.12,180.4,176.19,27.73,5.49,53,0.1,70.521736,41.141727,39.708065,19.15021,46.94005,45.84461,7.215341,3147,2915,3432,3651,184.48,115.66,84.2,238.56,145.76,251.98,132.35,105.2,156.7,110.2,145.1,47.99917,21.907686,30.093147,62.073273,37.926723,65.563446,34.436554,29.138853,43.403595,30.523779,40.190567,5,0,Vati
EU P-I KC vs OXG G5 2023-02-26.17.57,4,7,1,2,1,1,394,False,25,421,442.24698,42.02,2661,864,1841,518,820,346,22,6,64,23,361,72,367,73.47,20.350674,40.36,11.179437,159.09,62.19,57.41,97.07,42.338192,16.550457,15.278369,25.832977,1624,574264,73.9,152.56,157.5,180.17,176.08,27.71,5.37,52,0.1,70.608696,41.019897,39.733307,19.246798,46.92416,45.858944,7.216898,3130,2898,3412,3652,184.05,115.67,84.24,238.45,145.51,252.02,131.94,105.8,156.3,109.9,145.6,47.934677,21.939785,30.125532,62.102825,37.897175,65.63704,34.362953,29.305857,43.294003,30.441528,40.33018,5,0,Vati
EU P-I KC vs OXG G4 2023-02-26.11.48,2,5,1,1,0,0,276,False,50,409,434.06805,52.95,2606,563,1819,321,787,242,24,5,69,21,608,178,341,36.71,10.190994,54.07,15.010271,98.08,60.77,87.74,115.57,27.081953,16.779877,24.22686,31.91131,1608,568094,62.06,153.93,152.8,201.07,147.4,20.31,10.24,79,0.13,69.91304,41.432796,41.7392,16.828007,54.52302,39.969627,5.5073485,2832,2681,2985,3505,152.11,147.4,69.27,232.24,136.54,284.28,84.5,148.9,117.2,109.9,143.9,41.246815,18.783556,39.969627,62.975216,37.02478,77.08661,22.913391,41.335846,32.53567,30.509132,39.947807,2,1,Vati
EU P-I KC vs OXG G4 2023-02-26.17.48,2,5,1,1,0,0,276,False,50,408,433.6708,52.95,2606,563,1814,316,792,247,23,4,70,22,520,90,370,36.82,10.212176,53.96,14.966024,98.01,60.86,87.81,115.74,27.043211,16.792673,24.228796,31.935326,1605,568127,61.95,154.18,152.86,201.34,147.42,20.22,10.14,79,0.13,69.78261,41.426598,41.78433,16.789074,54.566643,39.953384,5.4799714,2827,2667,2996,3507,152.31,147.24,69.44,232.26,136.72,284.3,84.69,148.7,117,109.2,144.2,41.277542,18.81894,39.903522,62.946503,37.0535,77.04816,22.951841,41.242546,32.450424,30.287062,39.994453,2,1,Vati
EU P-I KC vs OXG G3 2023-02-26.11.41,0,7,0,3,1,0,138,False,0,423,423.5779,50.26,2363,395,1619,194,744,201,19,2,69,20,305,30,368,30.24,9.034417,43.43,12.975024,84.72,91.27,63.76,88.92,25.776617,27.769497,19.399399,27.054493,1645,534215,76.08,136.36,130.95,202.63,126.37,14.39,7.43,67,0.11,71.521736,38.13448,39.70995,22.155565,59.008705,36.80072,4.1905704,3137,2885,3352,3711,181.14,99.68,62.56,233.66,109.72,239.31,104.08,131,104.1,79.4,139.2,52.752052,18.218884,29.029064,68.04706,31.952938,69.69044,30.309559,39.137188,31.100622,23.72132,41.586998,1,2,Vati
EU P-I KC vs OXG G3 2023-02-26.17.41,0,7,0,3,1,0,138,False,0,423,423.1079,50.35,2362,394,1619,194,743,200,19,2,69,20,305,30,367,30.16,9.004329,43.63,13.025825,84.87,91.19,63.9,88.97,25.801844,27.723225,19.426626,27.04831,1639,534206,76.12,136.37,131.04,202.9,126.32,14.31,7.62,67,0.11,71.26087,38.14514,39.696682,22.158184,59.063255,36.77117,4.165575,3128,2897,3326,3710,181.17,99.98,62.38,233.73,109.8,239.37,104.17,131,104.5,79.1,138.8,52.73775,18.158531,29.103718,68.03773,31.962275,69.67748,30.322527,39.110313,31.198685,23.615463,41.43902,1,2,Vati
EU P-I KC vs OXG G2 2023-02-26.11.27,3,5,1,0,1,1,431,True,33.333332,448,460.8215,53.43,2571,430,1722,165,849,265,20,2,80,24,340,51,240,42.98,12.839433,43.98,13.138163,101.38,71.43,62.84,102.99,29.937399,21.093197,18.55658,30.412828,1640,540446,72.02,143.8,127.77,170.18,148.88,24.53,6.36,55,0.12,71.304344,37.186764,41.852207,20.961027,49.529964,43.330715,7.139323,2697,2663,2742,3543,157,116.52,70.07,225.17,118.42,231.14,112.45,91.7,143.4,122.2,121.4,45.693996,20.393492,33.912514,65.53451,34.465496,67.27204,32.727962,27.393578,42.837936,36.504856,36.26587,1,1,Vati
EU P-I KC vs OXG G2 2023-02-26.17.27,3,5,1,0,1,1,431,True,33.333332,447,461.09717,53.44,2572,430,1722,165,850,265,20,2,80,24,340,51,236,43.06,12.866021,43.15,12.892913,101.14,71.61,62.96,102.08,29.94168,21.199564,18.6388,30.219961,1644,540488,72.05,143.75,127.51,170.01,148.7,24.6,6.35,57,0.11,71.478264,37.14136,41.871777,20.986864,49.52084,43.313625,7.1655354,2704,2663,2758,3547,156.28,116.85,70.18,224.86,118.45,230.87,112.44,91.1,143,122.2,121.5,45.52154,20.442165,34.036293,65.49766,34.502346,67.24826,32.75174,27.220032,42.727383,36.51249,36.303337,1,1,Vati
EU P-I KC vs OXG G1 2023-02-26.11.19,1,7,1,0,3,0,420,True,100,408,435.69687,48.19,2293,326,1390,85,903,241,17,1,82,21,373,18,213,41.72,13.212149,37.97,12.024575,138.37,43.61,58.14,80.84,43.111294,13.587363,18.114407,25.18694,1564,491333,63.42,123.23,134.97,160.12,141.33,20.17,7.46,63,0.12,68,41.965675,38.315403,19.718924,49.785458,43.94316,6.2713757,2795,2735,2948,3630,154.59,108.97,58.06,214.15,107.47,247.07,74.55,113.8,129.1,110.5,123.5,48.06604,18.05236,33.8816,66.58479,33.41521,76.82047,23.179531,36.03889,40.884193,34.993824,39.11075,0,0,Vati
EU P-I KC vs OXG G1 2023-02-26.17.19,1,7,1,0,3,0,420,True,100,408,435.36597,48.19,2293,326,1390,85,903,241,17,1,82,21,373,18,205,41.72,13.202113,37.89,11.990127,138.63,43.6,58.22,80.74,43.16137,13.57452,18.126343,25.137768,1565,491309,63.46,123.11,135.28,159.82,141.84,20.18,7.2,63,0.11,68.04348,42.032,38.250736,19.717258,49.65822,44.07159,6.2701964,2805,2753,2947,3630,154.65,109.14,58.06,214.08,107.77,247.36,74.48,112.9,129.3,110.7,124,48.050335,18.039461,33.91021,66.51546,33.484543,76.85807,23.141935,35.726715,40.916424,35.030537,39.23926,0,0,Vati
EU P-I KC vs OXG G0 2023-02-26.11.11,1,1,0,1,0,0,46,False,0,389,201.78365,46.38,494,149,358,89,136,60,5,2,12,5,141,110,30,9.84,6.69889,8.17,5.561985,23.88,15.74,11.82,14.38,36.280766,23.913704,17.958067,21.847464,1562,89252,9.94,44.84,38.82,36.93,43.28,13.38,0.96,7,0.14,67.91304,41.474358,47.90598,10.619657,39.459347,46.24426,14.2964,1538,1447,7356,3353,45.06,13.53,35.01,52.21,41.39,54.37,39.23,74.4,35,30.1,57.6,48.141026,37.403843,14.455129,55.779915,44.220085,58.08761,41.912395,50.650146,23.827354,20.491524,39.213017,0,0,Vati
EU P-I KC vs OXG G0 2023-02-26.17.11,1,1,0,1,0,0,46,False,0,386,200.25674,46.38,494,149,358,89,136,60,5,2,12,5,141,110,30,9.87,6.6684685,8.27,5.587461,24.07,15.86,11.93,14.47,36.288254,23.91075,17.985828,21.815166,1565,89252,9.97,45.36,38.88,37.04,43.66,13.51,0.95,7,0.14,68.04348,41.2695,48.14775,10.58274,39.31642,46.343277,14.340303,1553,1461,7355,3355,45.29,13.63,35.29,52.44,41.77,54.64,39.57,75.5,34.9,30.6,57.7,48.073452,37.45887,14.467679,55.66288,44.33712,57.99809,42.00191,51.010067,23.57949,20.67428,38.983852,0,0,Vati
EU P-E KC vs BDS G5 2023-02-25.13.40,3,8,0,1,1,2,334,False,0,424,423.8363,49.57,2372,492,1809,343,563,149,21,4,53,13,345,56,192,35.38,10.536346,52.23,15.554364,118.44,61.43,41.42,116.83,35.028984,18.168106,12.250089,34.552822,1697,563523,84.67,143.82,119.01,152.86,159.1,35.54,6.89,58,0.12,73.78261,34.247482,41.387054,24.365467,43.988487,45.784172,10.227337,2667,2537,2808,3540,163.59,113.43,70.48,222.58,124.92,254.07,93.43,100.9,112.3,113.2,118,47.07626,20.282015,32.641727,64.051796,35.9482,73.11367,26.886332,30.048542,33.44352,33.711544,35.14101,0,0,Vati
EU P-E KC vs BDS G5 2023-02-25.19.40,3,8,0,1,1,2,334,False,0,424,423.63446,49.57,2372,492,1809,343,563,149,21,4,53,13,345,56,192,35.41,10.540258,52.24,15.5499325,118.56,61.43,41.51,116.84,35.04168,18.156294,12.268725,34.533314,1699,563532,84.86,144.08,118.68,152.24,159.88,35.51,6.88,58,0.12,73.86957,34.140728,41.44756,24.411715,43.79369,45.99143,10.214883,2685,2572,2806,3540,163.43,113.62,70.58,222.67,124.96,254.59,93.04,101,113.4,113.1,117.9,47.012627,20.303196,32.684174,64.053734,35.946262,73.23591,26.764088,30.063997,33.75502,33.66572,35.094505,0,0,Vati
EU P-E KC vs BDS G4 2023-02-25.13.32,3,13,1,4,4,0,558,False,33.333332,399,447.11368,48.62,2525,493,1746,287,779,206,19,3,74,19,212,23,267,64.74,19.106363,50.12,14.791642,149.71,43.02,46.54,110.45,42.808533,12.301269,13.307788,31.582405,1543,509503,62.44,132.82,160.97,195.75,147.57,12.91,7.12,65,0.11,67.08696,45.187096,37.2849,17.528002,54.95045,41.425484,3.624063,3073,3011,3138,3573,188.25,101.78,66.2,246.26,109.97,270.91,85.32,120.8,104.8,95.5,132,52.845074,18.5835,28.57143,69.1295,30.870506,76.04918,23.950817,35.651047,30.929052,28.184395,38.95644,0,1,Vati
EU P-E KC vs BDS G4 2023-02-25.19.32,3,13,1,4,4,0,558,False,33.333332,398,446.42438,48.62,2522,490,1746,287,776,203,19,3,74,19,212,23,267,64.79,19.11435,49.98,14.745103,149.82,43.17,46.56,110.42,42.809387,12.335343,13.303997,31.551275,1540,509499,62.58,132.56,161.11,196.17,147.11,12.97,7.21,68,0.11,66.95652,45.223858,37.209824,17.566317,55.06526,41.294037,3.6407018,3076,3019,3134,3570,188.05,102.02,66.18,246.24,110.01,270.94,85.31,121.4,105.9,96.5,132.9,52.785965,18.576841,28.637194,69.12,30.88,76.05334,23.946667,35.815437,31.242626,28.469437,39.208164,0,1,Vati
EU P-E KC vs BDS G3 2023-02-25.13.24,3,11,1,1,1,0,405,False,33.333332,356,367.73187,48.79,2944,671,1813,456,1131,215,22,5,96,20,463,67,309,59.2,12.324347,63.08,13.132091,136.17,91.75,94.36,150.06,28.82881,19.424566,19.977135,31.769487,1546,726080,74.47,199.53,211.98,257.05,201.04,27.88,10.75,102,0.11,67.21739,43.61908,41.057243,15.323675,52.89421,41.368813,5.73698,2667,2502,2794,3401,233.85,153.14,98.98,315.53,170.45,366.82,119.15,153.2,161.2,170.5,160.3,48.12025,20.367512,31.512232,64.926544,35.07346,75.482025,24.517975,31.89341,33.558865,35.49495,33.3715,2,2,Vati
EU P-E KC vs BDS G3 2023-02-25.19.24,3,11,1,1,1,0,405,False,33.333332,357,368.45944,48.8,2947,671,1813,456,1134,215,22,5,96,20,463,67,312,59.17,12.329908,63.17,13.163433,136.01,91.77,94.37,149.87,28.814455,19.441973,19.992798,31.750774,1548,726039,74.86,199.13,211.63,256.46,201.4,27.75,10.68,101,0.11,67.304344,43.57934,41.005314,15.415345,52.811928,41.47361,5.7144623,2667,2514,2778,3402,233.72,152.84,99.05,315.09,170.52,366.64,118.97,152.6,161.4,170,160.2,48.129154,20.397026,31.473816,64.88541,35.114597,75.500916,24.499083,31.798956,33.632706,35.424786,33.38265,2,2,Vati
EU P-E KC vs BDS G2 2023-02-25.13.13,1,8,1,1,0,0,262,False,100,376,411.36917,46.5,2335,318,1586,238,749,80,18,3,66,7,232,62,149,31.76,9.325542,37.91,11.131338,127.47,78.7,50.9,86.67,37.083263,22.89521,14.807704,25.213825,1487,490840,52.42,122.69,173.91,180.08,145.33,23.62,7.26,62,0.12,64.652176,49.828087,35.15271,15.019196,51.594418,41.638256,6.767327,2770,2979,2522,3252,191.11,113.23,44.68,259.31,89.71,259.44,89.59,119.7,102.4,98.4,133.6,54.756172,12.801558,32.442265,74.29661,25.7034,74.33172,25.668282,35.146957,30.06724,28.892738,39.228355,1,2,Vati
EU P-E KC vs BDS G2 2023-02-25.19.13,1,8,1,1,0,0,262,False,100,376,411.37625,46.66,2336,318,1586,238,750,80,18,3,66,7,232,62,149,31.74,9.315841,37.92,11.1297,127.58,78.68,50.91,86.77,37.093678,22.876083,14.802,25.228237,1486,490825,52.08,122.63,174.45,179.73,145.73,23.7,7.42,64,0.12,64.608696,49.962772,35.121437,14.915799,51.474968,41.737312,6.7877192,2759,2966,2507,3251,191.31,113.07,44.78,259.56,89.6,259.82,89.34,120,103,95.5,133.9,54.7915,12.825066,32.383434,74.33841,25.661587,74.41287,25.587124,35.22057,30.23099,28.029703,39.30028,1,2,Vati
EU P-E KC vs BDS G1 2023-02-25.13.05,1,9,1,2,2,1,456,False,100,399,428.37747,61.56,2682,458,1823,129,859,329,24,2,80,30,615,99,211,26.53,7.062425,57.25,15.240251,79.31,60.76,93.66,152.37,20.541311,15.736856,24.257965,39.46387,1563,574161,59.35,155.83,175.12,218.32,141.82,30.16,8.73,83,0.11,67.95652,44.86805,39.925697,15.206251,55.936455,36.33615,7.727389,2837,2761,2941,3662,155.91,160.98,73.41,241.52,148.78,280.26,110.04,116.7,128.2,118,119,39.946198,18.80861,41.245197,61.880608,38.119396,71.8063,28.193695,31.066153,34.127514,31.41222,31.678425,0,1,Vati
EU P-E KC vs BDS G1 2023-02-25.19.05,1,9,1,2,2,1,456,False,100,399,428.2978,61.67,2683,458,1824,129,859,329,24,2,80,30,666,99,221,26.69,7.1010485,57.19,15.215773,79.34,60.59,93.9,152.47,20.53844,15.684702,24.307533,39.469326,1565,574109,59.3,156.08,174.9,218.5,141.42,30.37,8.77,86,0.1,68.04348,44.813984,39.991802,15.194221,55.984016,36.234596,7.7813935,2854,2765,2977,3666,156.04,160.8,73.44,241.28,149.01,279.99,110.29,117.1,128,118.8,119.4,39.98155,18.817259,41.201187,61.8207,38.179302,71.7408,28.2592,31.155218,34.055233,31.607515,31.767149,0,1,Vati
