,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-04-18.02.03 capybara man Ranked Standard Win,2,5,1,3,1,0,248,False,50,316,340.94012,52.26,1997,539,1131,254,866,285,15,3,80,27,391,64,286,26.36,7.500569,34.63,9.8537445,120.01,101.12,55.02,86.82,33.06334,27.85905,15.1582775,23.919333,1501,515871,41.15,152.05,181.38,247.19,114.06,13.33,7.17,57,0.13,65.26087,48.422234,40.592133,10.985638,65.99125,30.450106,3.5586524,2713,2638,2799,3530,182.06,123.44,69.08,241.36,133.22,244.23,130.36,89.8,106.4,,124.3,96.1,48.603767,18.441988,32.95424,64.43483,35.565166,65.19929,34.800716,25.552015,30.275438,35.368767,27.344639,0,0,VinuJ
2023-04-18.01.53 sky Ranked Standard Win,1,10,0,2,2,0,226,False,0,336,360.03015,37.67,1909,509,1315,273,594,236,14,3,51,20,92,26,210,47.25,14.851952,19.3,6.066511,153.99,67.34,46.68,50.94,48.280296,21.113026,14.635522,15.971155,1461,460623,43.42,117.99,165.46,187.11,116.67,23.08,3.4,32,0.11,63.52174,50.619514,36.09692,13.283568,57.244694,35.694183,7.061127,2235,2131,2301,3339,134.34,86.73,105.79,175.93,150.93,232.34,94.52,85.5,105.5,1,141,48.7,41.100163,32.365536,26.534294,53.82427,46.17573,71.08242,28.917582,26.87496,33.1615,44.32011,15.307726,1,0,VinuJ
2023-04-18.01.53 Hiroshima.LilBoy Ranked Standard Win,1,10,0,2,2,0,226,False,0,336,360.5515,37.67,1909,509,1315,273,594,236,14,3,51,20,92,26,210,47.35,14.904936,19.3,6.0752954,153.73,67.21,46.65,51,48.253242,21.09608,14.642644,16.008036,1462,460572,42.78,118.66,164.98,186.33,117.15,22.94,3.37,32,0.11,63.565216,50.542244,36.351936,13.105814,57.082897,35.889343,7.0277553,2239,2127,2310,3342,134.37,86.4,105.65,175.87,150.54,232.06,94.36,85.9,103.1,1,137,49.3,41.16476,32.36628,26.468967,53.880093,46.11991,71.09246,28.907543,27.03979,32.454044,43.12516,15.518762,1,0,VinuJ
2023-04-18.01.54 capybara man Ranked Standard Loss,1,10,0,2,2,0,226,False,0,336,360.2453,37.67,1909,509,1227,273,682,236,13,3,52,20,80,26,205,47.41,14.911149,19.21,6.04183,153.9,67.41,46.55,50.92,48.27781,21.146248,14.602549,15.9734,1462,460623,43.04,118.22,165.48,186.8,117.01,22.93,3.34,32,0.1,63.565216,50.64577,36.18167,13.172552,57.17084,35.811348,7.0178127,2225,2111,2301,3343,134.35,86.47,105.92,175.97,150.77,232.44,94.3,87.4,108.7,1,143.7,51.6,41.118324,32.417213,26.464468,53.856277,46.143723,71.13914,28.860868,27.488598,34.187763,45.195786,16.228966,1,0,VinuJ
2023-04-18.01.47 sky Ranked Standard Loss,2,10,1,1,0,0,212,False,50,346,364.87097,52.03,2024,638,1327,385,697,253,16,5,67,27,310,124,110,42.6,12.799328,49.19,14.779317,126.69,55.89,47.88,111,37.10244,16.367949,14.02214,32.507465,1426,468380,32.99,128.05,186.27,199.5,140.61,7.2,5.96,51,0.12,62,53.632202,36.86908,9.498719,57.44148,40.485447,2.073076,2558,2487,2659,3573,138.15,128.56,80.6,202.73,144.58,222.6,124.71,94.8,127.9,,118.6,103.9,39.77714,23.206934,37.015923,58.371483,41.628517,64.0926,35.907402,28.483011,38.42803,35.63381,31.217138,1,0,VinuJ
2023-04-18.01.47 Hiroshima.LilBoy Ranked Standard Loss,2,10,1,1,0,0,212,False,50,346,365.4639,52.03,2024,638,1327,385,697,253,16,5,67,27,310,124,110,42.69,12.847212,49.05,14.761202,126.6,55.88,47.63,110.85,37.130455,16.389019,13.969381,32.511147,1432,468402,32.72,128.16,185.97,199.09,140.6,7.17,5.75,51,0.11,62.260868,53.616837,36.949688,9.433473,57.397797,40.535088,2.0671163,2557,2474,2677,3579,138.05,128.29,80.52,202.31,144.55,222.19,124.67,94.6,127.4,,119.4,103.5,39.79992,23.213976,36.986103,58.32613,41.673878,64.05755,35.942455,28.469107,38.340004,35.93247,31.147491,1,0,VinuJ
2023-04-18.01.47 capybara man Ranked Standard Win,2,10,1,1,0,0,212,False,50,347,366.17685,51.9,2031,638,1327,385,704,253,16,5,67,27,310,124,104,42.44,12.752787,49.08,14.748039,128.38,54.27,47.97,110.82,37.59958,15.894447,14.04932,32.456654,1429,468603,33.19,127.85,186.35,199.27,140.94,7.19,5.7,51,0.11,62.130436,53.642876,36.803017,9.554102,57.360386,40.569946,2.0696602,2573,2499,2680,3582,138.47,128.31,80.62,202.82,144.57,222.6,124.79,96.3,129,,119.6,106.2,39.85895,23.20668,36.934372,58.383945,41.61605,64.077835,35.92216,28.937166,38.763184,35.93858,31.912016,1,0,VinuJ
2023-04-18.01.40 capybara man Ranked Standard Win,3,7,1,3,1,1,311,False,33.333332,326,341.97513,52.5,1994,557,1414,359,580,198,19,6,58,20,386,260,329,25.83,7.383164,34.08,9.741319,111.93,63.62,82.16,97.87,31.478148,17.891893,23.105911,27.524044,1545,516805,51.79,144.21,175.35,230.38,124.3,16.68,6.99,66,0.11,67.17391,47.219604,38.833984,13.946411,62.03684,33.471565,4.4915986,2719,2942,2561,3576,187.66,94.49,89.2,241.98,129.37,267,104.35,116,96,2,127.9,81.5,50.53454,24.020468,25.445,65.16225,34.837757,71.899826,28.100174,33.157066,27.44033,36.558525,23.295698,1,0,VinuJ
2023-04-18.01.32 capybara man Ranked Standard Win,2,2,0,1,1,1,248,False,0,396,384.3205,51.94,2072,593,1334,257,738,336,17,4,66,26,434,155,166,27.43,8.479658,37.67,11.645232,110.35,70.07,38.81,101.91,34.361958,21.819143,12.0850725,31.733822,1520,478595,45.54,138.99,149.96,175.3,140.35,18.85,5.56,54,0.1,66.08696,44.83243,41.55281,13.614756,52.40657,41.958145,5.635276,2568,2665,2410,3948,115.77,91,127.73,162.61,171.89,235.35,99.14,83.5,129.7,1,137.2,79.8,34.609867,38.185352,27.204782,48.612854,51.387146,70.36085,29.639153,25.813032,40.095215,42.41375,24.669224,0,1,VinuJ
2023-04-18.01.18 capybara man Ranked Standard Loss,1,8,1,5,0,1,226,False,100,323,345.05228,50.15,2030,674,1216,304,814,370,14,4,71,28,252,119,125,30.54,8.651803,51.38,14.555654,114.73,63.07,82.15,103.27,31.586916,17.364132,22.617147,28.431805,1412,485162,31.13,142.48,199.51,216.95,142.36,13.8,7.17,67,0.11,61.391304,53.470734,38.186108,8.343161,58.146393,38.15497,3.6986413,2753,2636,2871,3634,125.89,131.05,116.18,190.67,182.45,251.21,121.91,88.8,107,3,124.9,86.7,33.739815,31.137436,35.12275,51.101524,48.89848,67.326866,32.673134,25.15652,30.312475,35.38344,24.561604,1,1,VinuJ
