Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-02-24.21.34 Ksacoo Ranked Standard Win,2,1,1,0,433,0,311.82416,47.6,1759,566,1103,656,412,330,8.50913,7.1116233,27.173746,32.322456,17.17467,23.32913,81,0.11,61.652172,57.964375,31.105156,10.930473,75.19312,24.190016,0.616857,3071,2978,3160,3523,2.0,64.786255,8.964861,26.248882,77.94241,22.057592,68.74784,31.252163,43.697926,27.684217,31.141052,31.466053,1,3,Cho Shmo
2023-02-24.20.34 GUIN19 Ranked Standard Loss,2,1,1,0,433,0,312.1377,47.6,1759,566,1103,656,412,330,8.541347,7.089199,27.164446,32.38743,17.103197,23.344927,80,0.11,61.782608,58.066097,30.982824,10.951074,75.24101,24.147089,0.61190325,3084,2995,3170,3522,2.0,64.75207,8.953415,26.294523,77.94261,22.057379,68.752525,31.247475,44.215073,28.155685,31.556845,32.26665,1,3,Cho Shmo
2022-12-17.14.21 Motiv Bowl Ranked Standard Win,1,0,0,0,144,0,344.7683,50.73,2005,569,1305,700,301,366,8.299659,11.561058,21.64571,25.406603,27.200478,25.747211,96,0.11,64.73913,51.8289,37.55302,10.61808,68.24304,26.43292,5.3240423,3282,3643,3022,4006,1.0,53.613728,17.346994,29.039278,69.67168,30.328321,64.74412,35.255882,39.406185,30.951767,31.43897,39.750095,0,1,Cho Shmo
2022-12-16.15.52 aidan Ranked Standard Win,3,1,0,1,272,0,275.73923,54.25,1548,541,825,723,183,85,6.005819,12.890393,19.315481,30.480684,27.069828,23.133997,77,0.12,59.52174,59.384354,33.9085,6.7071447,67.91494,27.7726,4.312463,3498,3553,3443,4049,1.0,47.29738,24.360352,28.342278,61.256706,38.743294,74.927986,25.072014,49.608124,27.936113,23.48296,47.292484,0,0,Cho Shmo
2022-12-03.18.55 Sir Squirt Ranked Standard Win,2,0,0,0,128,0,283.2713,50.27,1535,510,888,647,427,174,3.5924091,9.107126,26.599056,32.289227,18.322155,22.789564,87,0.11,63.695652,49.412018,41.651806,8.936184,70.5765,27.30433,2.1191692,3328,3134,3402,3939,,42.974606,23.231558,33.79383,63.140873,36.85913,72.40629,27.593714,34.75533,31.341309,27.496693,38.32313,1,2,Cho Shmo
2022-11-13.19.09 werdnA Ranked Standard Win,4,4,0,0,581,0,291.58142,49.9,1259,139,705,554,107,152,7.577102,8.403134,24.34654,29.141834,22.056017,24.455612,56,0.09,62.52174,52.8352,43.69977,3.465032,67.226105,28.718275,4.0556197,3258,3403,3102,4014,,43.264557,24.740225,31.995214,57.897884,42.10212,78.099655,21.900349,39.525997,28.447906,26.363533,36.39943,1,1,Cho Shmo
2022-11-12.22.38 Nickel Ranked Standard Win,3,0,1,0,192,0,258.81134,44.06,1416,506,910,506,190,159,17.735401,8.989552,39.34515,24.787502,22.845085,13.022267,48,0.1,61.826088,53.774,39.904144,6.3218555,66.86172,32.688408,0.44988093,2918,2899,2809,3712,,38.954395,25.572643,35.472965,54.176838,45.823166,72.60137,27.39863,27.416456,31.864016,32.777897,21.049746,1,0,Cho Shmo
2022-10-23.20.09 O2 Ranked Standard Loss,1,0,1,1,214,0,263.3672,44.88,1490,181,843,647,156,171,12.493739,10.181176,32.010662,27.7034,21.18798,19.09796,79,0.1,62.260868,54.407925,39.411713,6.1803584,69.71458,29.432236,0.85318965,3108,3276,3030,3669,1.0,49.54113,19.558811,30.900059,67.622795,32.377213,71.524,28.476004,34.32022,32.28752,31.46266,31.963469,1,1,Cho Shmo
2022-09-11.14.18 Ziggy. Ranked Standard Loss,3,3,2,0,667,0,265.65894,42.29,1529,416,591,938,112,190,6.570527,6.040599,33.35573,32.07933,20.393143,14.1718025,68,0.11,62.739132,52.74898,41.460793,5.7902284,62.793648,32.712032,4.49432,2927,2686,3152,3835,2.0,42.029945,20.823338,37.14672,61.6356,38.3644,70.304405,29.6956,30.02925,34.14126,34.981033,32.51962,0,0,Cho Shmo
2022-09-08.17.44 Doc.^^ Ranked Standard Loss,3,1,1,0,266,0,278.8241,56.03,1742,446,930,812,493,259,4.305608,13.623754,20.952631,22.834337,29.471344,26.741692,93,0.11,60.869564,53.836926,39.782536,6.3805375,69.47747,29.312681,1.2098455,3323,3375,3280,3939,1.0,43.098145,23.631102,33.270756,58.807888,41.192116,71.83459,28.165417,32.572163,31.345037,28.410608,37.133865,0,1,Cho Shmo
