shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_rank,numeric_rank
0,0,1,0,220,0,241.58151,33.0,1332,224,1022,310,77,581,39.970375,10.298652,56.42889,12.616614,4.4456434,26.508854,11,0.33,56.217392,61.97408,29.869226,8.156697,66.17276,31.954071,1.8731697,2683,2445,2861,2738,67.674774,9.905182,22.420042,81.39879,18.601212,68.022736,31.977266,45.251194,33.09957,27.174898,47.548515,0,0,Silver 2 Division 2,18
0,0,0,0,90,0,200.77383,42.48,1107,137,690,417,210,71,12.937549,9.663865,42.90789,19.497183,14.717051,22.877878,5,0.43,55.04348,62.804317,33.793186,3.4025042,60.5524,37.40726,2.040343,1970,1830,2069,2401,59.801765,9.233712,30.964527,79.79075,20.209251,63.57234,36.427658,32.736835,31.013844,35.57826,27.416721,1,0,Silver 2 Division 2,18
0,0,0,0,74,0,114.26153,34.05,630,60,282,348,117,118,20.092497,0.0,42.613056,19.6454,11.390601,26.350939,4,0.46,50.47826,83.21701,14.610286,2.1727068,66.886665,30.496744,2.6165931,1952,1643,2189,2393,56.829136,9.712934,33.457935,73.48071,26.519289,64.22523,35.77478,25.39145,34.9737,36.606007,28.02128,0,1,Silver 2 Division 2,18
0,0,0,0,24,0,137.6902,14.24,276,60,100,176,0,53,60.46396,3.525401,87.008156,12.238568,0.0,0.75327903,0,0.0,56.304348,70.828804,28.129374,1.0418286,69.3749,24.778416,5.8466797,1891,1907,1878,2429,66.89993,8.918435,24.181635,82.97177,17.028225,58.66895,41.331055,16.130373,35.004574,41.73942,16.462957,0,0,Platinum 1 Division 1,37
2,0,0,0,92,0,154.41177,43.05,672,183,131,541,98,68,10.768995,3.036918,31.994917,39.718113,19.09698,9.189986,12,0.14,54.608696,67.362434,30.895084,1.7424798,72.369774,25.865736,1.76449,2618,2400,2690,2878,51.770058,21.068272,27.161673,67.67425,32.325752,65.15774,34.84226,27.113974,41.015625,31.709558,34.964767,0,1,Silver 3 Division 4,24
1,0,1,0,68,0,143.84192,49.65,626,122,315,311,184,7,0.0,6.7440257,14.063392,43.8931,25.164997,16.878515,13,0.47,47.130436,76.81102,21.713764,1.4752295,77.252205,22.501926,0.24586253,2949,3084,2894,2991,71.4249,8.803347,19.771751,82.94312,17.05688,74.10642,25.893578,55.798103,18.803616,27.22886,44.232536,0,1,Silver 3 Division 4,24
4,1,0,0,228,0,281.05872,51.55,1676,165,972,704,336,67,5.4892535,14.055731,24.74524,24.16864,23.637712,27.448404,19,0.19,59.217392,57.68534,37.055504,5.2591524,64.2724,32.995667,2.7319248,2828,3001,2494,3257,49.587967,20.942684,29.469347,66.27477,33.72523,74.17594,25.82406,38.877556,29.654266,35.831074,29.262976,1,0,Diamond 2 Division 2,54
5,2,0,0,392,0,356.18658,55.73,2124,174,1518,606,199,254,14.0725,16.979233,24.709599,13.930858,21.970556,39.38898,32,0.42,65.391304,46.958126,44.145382,8.896498,64.04435,30.98317,4.972477,3066,2949,2984,3240,51.017937,22.181253,26.800812,64.92402,35.07598,74.20527,25.794727,38.374466,23.477459,26.104698,35.355934,0,0,Diamond 2 Division 2,54
1,0,1,1,254,0,344.28015,57.62,2053,476,1615,438,509,113,6.5205846,15.019983,13.141431,28.969322,22.968004,34.921246,19,0.17,61.782608,54.63264,38.326603,7.0407653,60.495102,38.622494,0.88240737,2879,2564,3029,3593,44.70952,27.48144,27.80904,58.3974,41.6026,68.028114,31.971891,22.387434,45.5854,36.669556,35.07644,0,0,Diamond 2 Division 2,54
1,1,0,0,152,1,241.5854,62.22,256,23,149,107,50,0,6.920415,13.243157,1.5867821,24.86504,44.31539,29.232782,1,0.07,56.434784,65.975464,28.314835,5.709696,64.26172,32.481377,3.2569008,3074,3298,2988,3166,46.203274,26.226635,27.570093,59.637856,40.362152,74.24066,25.759348,16.829191,50.80214,30.984587,31.770998,0,0,Gold 2 Division 3,31
1,0,1,0,126,0,223.41562,51.0,1151,233,798,353,301,250,10.264955,16.291935,30.462234,19.825209,20.027914,29.684645,10,0.5,50.47826,72.36724,20.15136,7.481401,69.60203,30.003529,0.39444572,3399,3674,3014,3618,56.8176,13.000257,30.182144,73.61468,26.385326,72.65585,27.34415,52.246777,25.39549,20.510498,54.51134,0,1,Gold 3 Division 1,33
0,0,0,2,104,0,290.65744,54.35,308,104,231,77,175,0,8.414596,15.901225,15.498214,34.95618,6.815968,42.72963,0,0.0,59.782608,62.126003,31.429802,6.444188,64.700806,31.314732,3.9844651,3045,2732,2558,3677,50.71213,25.061144,24.226732,66.29746,33.70253,75.9206,24.079403,39.635105,29.0972,28.468071,36.961308,0,0,Gold 2 Division 3,31
3,0,1,1,293,0,268.14023,45.78,1480,256,789,691,323,158,12.96917,13.612344,33.54618,28.807045,16.547634,21.09914,31,0.19,57.869564,60.267807,34.29959,5.432607,68.14797,30.645397,1.2066276,2901,2740,3088,3892,53.512463,19.700403,26.787132,68.13032,31.869684,78.357216,21.642778,36.295555,34.84615,42.18377,23.734034,0,2,Diamond 3 Division 1,57
3,3,3,1,721,1,332.45764,58.24,1835,455,1305,530,391,439,6.383428,21.550865,18.728933,15.361065,30.425238,35.48477,21,0.21,61.739132,54.66932,34.366413,10.964272,72.96357,24.390387,2.6460443,3472,3188,3809,3921,45.418392,23.109758,31.471842,59.733345,40.266647,78.35507,21.644934,32.67204,35.601048,30.467735,43.02926,0,1,Diamond 3 Division 1,57
1,1,2,1,395,0,360.5399,48.35,1990,327,1440,550,177,280,14.300812,13.736147,37.023487,25.802551,11.079311,26.094654,88,0.1,63.739132,48.405037,40.84311,10.751846,63.954796,35.036938,1.0082572,3393,3530,3163,3849,49.47994,21.920906,28.599161,62.613358,37.386642,78.04433,21.955671,34.212036,30.467735,28.082253,35.51046,1,0,Diamond 3 Division 1,57
0,0,2,0,146,0,399.29364,43.31,1432,629,1163,269,43,69,23.673204,21.739939,39.38811,17.32161,11.953834,31.336449,15,0.1,67.347824,44.05696,42.183228,13.7598095,45.654953,51.082405,3.2626429,2679,2296,2844,3780,48.999207,18.596243,32.40455,68.10546,31.894535,50.958954,49.04105,25.559998,45.682686,41.918396,25.699415,0,0,Diamond 3 Division 1,57
0,0,0,0,76,0,351.6126,42.42,1261,46,981,280,26,82,34.79413,9.9405155,47.52309,9.907641,15.332588,27.236683,43,0.08,64.391304,52.2184,34.810795,12.970803,53.46858,45.384785,1.1466373,2661,2543,2764,3448,61.265717,15.259096,23.475195,74.37594,25.624063,67.44289,32.557114,40.384796,28.34836,37.22465,25.559998,0,0,Diamond 2 Division 3,55
1,2,1,1,510,1,313.61197,46.54,1842,459,1146,696,259,65,9.474759,9.750007,30.88082,31.09813,18.344482,19.676573,61,0.11,64.434784,48.712105,42.473087,8.814806,60.196068,36.92882,2.87511,2672,2585,2783,3487,47.98583,20.666172,31.347996,62.758133,37.241875,71.542725,28.457272,31.327147,35.526802,34.732273,32.263557,1,2,Champion 2 Division 3,67
4,1,2,1,424,0,451.17902,49.09,2650,486,1866,784,252,281,16.988735,4.2024913,41.97469,17.662672,14.206689,26.155952,65,0.14,66.304344,45.85199,40.72295,13.425058,60.238808,36.42877,3.3324287,2936,2886,3026,3615,55.43555,17.402985,27.161465,69.0168,30.983202,78.10252,21.897474,39.357567,29.766464,30.390738,36.32133,1,1,Champion 2 Division 3,67
5,1,0,0,264,0,426.15137,52.47,2503,458,1764,739,438,365,12.425867,8.019069,27.659023,25.161829,20.029346,27.149803,64,0.1,66.565216,46.416687,38.434685,15.1486225,59.176437,37.89746,2.9260976,2738,2607,2886,3475,47.23495,25.518108,27.246948,61.08914,38.910854,69.531784,30.468218,35.470047,36.065945,36.46321,36.519962,0,2,Champion 2 Division 3,67
1,0,2,0,289,0,417.06516,53.6,2224,487,1496,728,213,419,7.004219,9.789029,28.854338,23.810844,18.61003,28.724781,42,0.15,60.47826,53.61825,36.620533,9.761217,59.174427,34.218533,6.607045,2740,2718,2760,3744,56.60228,14.202281,29.195436,73.29805,26.701954,75.20229,24.797712,41.068913,23.87873,38.34974,26.847944,1,0,Grand Champion 2 Division 4,80
1,0,2,0,237,0,395.6868,57.54,2110,564,1566,544,254,231,8.135646,13.267697,24.071634,21.502949,15.979802,38.445618,208,0.1,65.91304,45.134113,43.504044,11.361839,56.200966,39.441036,4.358008,2979,2882,3044,3841,50.98534,18.116295,30.898363,69.39266,30.607342,68.13758,31.862417,33.505234,32.630096,31.473667,30.91108,0,0,Grand Champion 2 Division 4,80
1,0,1,0,138,0,374.87106,57.76,1999,771,1360,639,377,278,7.804344,11.32677,27.784977,12.947572,21.68884,37.578613,108,0.09,73.21739,34.843506,43.47381,21.682676,52.169197,42.9687,4.8621006,3251,3136,3362,4186,38.800743,22.482182,38.71707,57.78122,42.21878,66.31752,33.68248,28.129395,44.50695,31.317392,44.69448,1,2,Grand Champion 2 Division 4,80
1,0,1,0,158,0,245.01881,28.77,1324,85,756,568,43,382,30.124607,7.195731,64.626434,19.302761,6.314552,9.756252,28,0.24,56.173912,60.502026,34.04479,5.4531784,62.15542,37.222305,0.62227565,2354,2118,2516,2915,61.175404,15.577933,23.246655,72.76034,27.239656,78.051346,21.948652,41.576706,27.728086,41.545864,28.344952,1,1,Gold 3 Division 1,33
3,1,0,0,234,0,333.04498,50.25,1925,215,1463,462,541,443,14.04556,17.941177,32.413776,23.686207,20.044863,23.855164,13,0.35,61.391304,54.243824,34.995487,10.760689,63.54386,33.54851,2.9076288,2765,3208,2384,3337,55.892006,17.900322,26.207668,70.50248,29.497524,73.52498,26.475014,66.89735,30.103807,35.64014,59.688583,0,1,Gold 1 Division 2,26
0,0,1,0,54,0,188.93468,19.7,214,36,100,114,0,44,31.327251,2.0600352,48.903557,31.743668,6.536087,12.816692,2,0.22,49.869564,69.00205,25.462595,5.535347,60.90463,34.82524,4.270125,3223,3812,2451,3324,50.118614,3.590068,46.291317,80.27835,19.721651,72.91996,27.08004,28.69335,44.29076,39.582108,31.636257,1,0,Gold 1 Division 2,26
1,1,3,0,389,0,426.89417,54.32,2327,562,1695,632,269,365,13.841497,9.414175,29.66248,18.108067,18.876947,33.352505,63,0.06,70.695656,37.530895,38.42718,24.041927,48.725586,45.84326,5.4311576,2958,3075,2858,3671,48.88935,19.991663,31.118986,66.755005,33.245,72.80848,27.19152,38.708492,32.593407,31.859598,33.816425,0,1,Grand Champion 2 Division 2,78
2,1,1,1,443,1,431.84738,52.8,2354,504,1885,469,540,207,12.9915,19.656944,28.48129,18.161757,13.5863495,39.77061,48,0.14,67.0,47.92091,35.652943,16.426147,49.150093,41.54813,9.301777,2411,2262,2540,3517,47.296818,24.012867,28.690313,61.438354,38.56165,67.91891,32.081097,31.767872,28.22112,39.99266,25.805662,0,0,Grand Champion 2 Division 2,78
3,0,3,1,390,0,391.1209,52.54,2132,658,1456,676,171,170,11.300679,12.841681,29.864832,17.658092,15.862808,36.614265,42,0.09,65.73913,46.74953,37.685993,15.564478,46.784958,45.376717,7.838333,3043,2971,3132,3781,41.45016,25.43694,33.112896,59.296764,40.703236,61.959732,38.04027,30.942335,39.778637,28.893782,41.85776,1,0,Grand Champion 2 Division 2,78
3,2,2,1,554,1,401.49124,55.12,2118,486,1637,481,381,390,9.399091,22.709465,18.970602,22.965885,19.293453,38.77006,70,0.1,63.652172,50.603973,36.972275,12.423748,66.038536,29.422602,4.538866,2721,2668,2786,3132,48.849422,18.786615,32.363953,66.46433,33.535664,80.43787,19.562132,48.401367,24.453432,27.42323,44.009857,1,0,Platinum 3 Division 3,47
3,2,0,1,402,0,346.3738,55.01,2150,294,1845,305,346,151,6.2132483,27.63741,23.982403,22.026134,20.157846,33.833614,46,0.11,62.695652,55.579742,35.70987,8.710387,60.17465,37.477737,2.3476152,2975,2815,3097,3354,57.772614,15.075203,27.152187,73.686424,26.313578,65.54932,34.450684,32.67728,38.50388,33.267998,38.342777,0,0,Platinum 3 Division 2,46
