Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-03-26.23.26 JadenD Ranked Standard Loss,4,0,0,0,176,0,382.1525,47.96,2047,264,1404,643,208,351,15.775226,7.3244343,46.231464,16.766136,10.518058,26.48434,67,0.13,65.434784,47.70662,35.870094,16.423292,59.560093,37.283,3.1569061,2763,2797,2730,3373,,52.614513,22.03708,25.348398,65.80829,34.191708,74.59403,25.40596,39.795883,24.98522,31.208187,32.390553,0,1,edencroww
2023-03-26.23.26 BestMan Ranked Standard Loss,4,0,0,0,176,0,384.51965,47.7,2060,276,1404,656,208,351,15.8069935,7.326406,46.22366,16.788187,10.453776,26.53438,67,0.12,65.304344,47.63131,36.015026,16.353668,59.46568,37.390198,3.1441205,2752,2789,2714,3376,,52.58678,22.087599,25.325619,65.796326,34.20367,74.61986,25.38014,39.758587,25.167994,31.669985,31.949974,0,1,edencroww
2023-03-19.22.46 rsc pots frank. Ranked Standard Loss,2,0,2,0,224,0,405.97278,56.94,2166,510,1405,761,652,406,7.2691493,17.19043,26.771652,13.813898,19.960005,39.45444,70,0.15,64.652176,47.132774,38.53109,14.336141,62.90562,31.459002,5.6353726,2923,2692,3149,3894,,49.320366,18.96461,31.71502,66.04224,33.957767,75.318924,24.681076,41.140823,27.989504,31.332,31.51943,3,1,edencroww
2023-03-19.22.46 rossy2saucyy Ranked Standard Loss,2,0,2,0,224,0,406.0235,56.94,2166,410,1505,661,652,392,7.24194,17.198826,26.758537,13.821443,19.952501,39.467514,71,0.14,64.608696,47.18249,38.420338,14.397177,63.059635,31.311539,5.628832,2916,2689,3136,3887,,49.33589,18.960339,31.703766,66.0361,33.9639,75.13855,24.861454,41.614597,28.24294,31.773308,32.08573,3,1,edencroww
2023-03-19.22.39 ethereal. Ranked Standard Win,2,1,0,0,196,0,451.81833,45.43,2081,324,1321,760,387,336,11.756831,12.50588,46.74331,16.838875,16.42628,19.991535,60,0.13,70.347824,40.745117,39.83805,19.416836,57.39557,39.633003,2.9714327,3220,3024,3375,3783,2.0,58.910824,17.081394,24.007786,73.347466,26.652534,75.76632,24.233686,41.613895,25.040707,27.971777,36.9459,1,1,edencroww
2023-03-19.23.38 Rubenofski Ranked Standard Win,2,1,0,0,196,0,451.63858,45.43,2081,324,1321,760,387,336,11.777473,12.544311,46.67489,16.863436,16.447577,20.014097,60,0.14,70.26087,40.861897,39.67427,19.463833,57.44349,39.58746,2.9690595,3221,2999,3412,3789,2.0,59.016563,17.085114,23.898323,73.35834,26.641665,75.76136,24.238638,41.524998,24.596687,27.635101,37.11206,1,1,edencroww
2023-03-19.23.32 Rubenofski Ranked Standard Loss,2,1,2,2,402,0,450.07288,52.65,2316,397,1752,564,362,312,10.179757,8.191093,38.89625,15.234942,20.176601,25.692213,54,0.12,64.521736,49.91336,32.08998,17.996655,61.878704,33.52485,4.596443,3272,3197,3333,3811,1.0,54.350075,16.555204,29.094723,72.15601,27.843983,74.66788,25.332117,41.068825,33.39271,28.34008,40.647774,2,0,edencroww
2023-03-19.22.33 ethereal. Ranked Standard Loss,2,1,2,2,402,0,450.27707,52.65,2316,397,1752,564,362,312,10.213538,8.162406,38.849102,15.219106,20.229046,25.702747,54,0.12,64.26087,49.854,32.027493,18.118498,61.95632,33.460064,4.583612,3287,3219,3337,3815,1.0,54.38591,16.582518,29.03157,72.06423,27.935764,74.69433,25.305676,41.508705,33.829105,29.065813,41.152264,2,0,edencroww
2023-03-19.23.16 r4w. Ranked Standard Loss,2,1,0,2,300,0,532.43524,53.04,1357,23,1030,327,72,138,16.132618,13.477635,45.877827,17.536644,8.051999,28.533527,31,0.13,66.478264,45.35512,40.069256,14.575611,59.317093,32.662983,8.019929,3404,3723,2897,3717,,56.76792,12.345078,30.886997,76.025276,23.974726,86.72459,13.275411,41.917343,17.329323,28.904003,33.350773,0,1,edencroww
2023-03-07.00.13 skatesgame -_- Ranked Standard Loss,1,0,0,2,220,0,447.40347,54.83,2408,457,1736,672,292,332,10.283962,15.82696,31.560757,14.782926,16.89304,36.76328,50,0.12,65.13043,48.6251,36.28113,15.093771,59.71778,35.50624,4.775975,2803,2928,2635,3524,,35.923412,21.537764,42.53882,57.949642,42.050354,80.0187,19.981304,37.159756,32.91735,38.150684,32.205124,0,1,edencroww
