Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU P-K KC vs TL G7 2023-02-26.19.11,3,2,0,0,378,0,420.76846,48.78,2338,175,1535,803,296,389,12.957797,10.159272,33.467205,27.739504,10.636721,28.156569,84,0.12,66.13043,47.60705,38.449085,13.943866,57.991005,36.374813,5.6341834,2836,2827,2882,3486,56.550423,17.34085,26.10873,70.49387,29.506132,78.26921,21.730787,35.63394,28.555145,29.365007,34.854073,0,3,Oski
EU P-K KC vs TL G6 2023-02-26.19.02,2,1,1,0,337,0,443.67334,49.62,2749,389,1535,1214,280,457,16.343878,5.9339356,35.306915,18.849806,19.566025,26.277256,94,0.11,69.26087,39.694046,43.139282,17.16667,57.16615,37.84847,4.985375,2840,2821,2778,3664,49.18593,14.125229,36.688843,72.29311,27.70688,74.16457,25.835426,34.511513,28.835808,30.826338,34.081127,1,0,Oski
EU P-K KC vs TL G5 2023-02-26.18.51,2,1,2,0,396,0,483.6058,42.02,2677,507,1905,772,200,335,14.241411,12.049499,38.2495,28.759111,14.9944515,17.99694,87,0.11,70.608696,38.574112,43.781593,17.644293,52.591984,40.52251,6.885506,2860,2622,3089,3685,53.32667,18.816856,27.856472,70.42729,29.572704,68.49654,31.503468,28.99467,36.491734,33.059345,30.16891,2,1,Oski
EU P-K KC vs TL G4 2023-02-26.18.44,2,1,2,0,408,0,427.79123,43.45,2624,352,1868,756,241,315,13.7678995,8.341711,50.416485,17.755373,11.776633,20.051514,110,0.1,65.95652,48.11013,37.626343,14.26353,56.596123,35.323223,8.080648,2760,2794,2732,3498,58.920303,13.766057,27.313646,75.02369,24.976313,79.10086,20.899137,31.002907,28.584627,31.030079,26.89998,1,3,Oski
EU P-K KC vs TL G3 2023-02-26.18.35,0,0,2,0,212,0,489.8436,42.65,2725,250,1900,825,215,445,15.902691,6.8398347,40.48028,24.545208,15.093372,19.881136,84,0.11,69.13043,39.895992,41.514507,18.5895,58.420002,37.50438,4.07561,2732,2586,2872,3678,46.922203,15.8520565,37.225746,66.82637,33.173622,69.81711,30.182892,25.465876,41.045,36.610943,31.158249,1,3,Oski
EU P-K KC vs TL G2 2023-02-26.18.27,3,0,1,0,208,0,562.48254,48.98,3021,855,2034,987,287,510,12.884406,7.7176104,30.848192,26.104973,19.35899,23.687845,84,0.11,72.95652,33.660522,44.066296,22.273184,56.384926,36.606323,7.008745,2781,2715,2836,3656,36.40033,30.844265,32.755405,52.21699,47.78301,73.04835,26.951656,30.224981,35.314198,34.445305,28.642359,2,2,Oski
EU P-K KC vs TL G1 2023-02-26.18.20,1,0,2,0,244,0,488.75854,46.82,2750,517,2052,698,280,240,10.545336,11.407328,35.585052,17.63382,23.078922,23.702208,89,0.12,67.95652,45.016323,34.47614,20.507532,52.57927,38.75347,8.667258,2864,2713,3014,3756,40.08707,25.12459,34.788334,52.78971,47.210285,67.58034,32.41966,28.644215,39.574635,34.272343,34.272343,1,0,Oski
EU P-K KC vs TL G0 2023-02-26.18.12,0,1,0,0,148,0,274.2091,48.69,900,165,820,80,279,118,24.795614,5.1744275,55.681675,12.907827,8.733408,22.677088,21,0.08,71.434784,54.391212,25.317766,20.291023,43.23345,48.588028,8.178524,2880,2702,3422,3708,56.467476,12.952206,30.58032,66.19314,33.80687,70.31116,29.688848,42.65475,27.827148,27.72559,57.787033,0,1,Oski
2023-02-26.18.00 CharlieB. Private Win,1,0,3,0,400,0,474.72055,46.85,2881,792,2189,692,408,591,15.304974,9.463653,35.066734,22.970072,16.562916,25.400278,86,0.11,71.08696,38.518875,38.58077,22.900352,49.363583,42.34547,8.290951,2375,2350,2460,3606,37.278328,27.45082,35.27085,55.96459,44.035416,60.472004,39.528,25.622717,40.754673,37.788704,30.923021,2,1,Oski
EU P-J TL vs G1 G7 2023-02-26.16.56,4,0,1,1,228,0,539.9701,47.91,3070,907,2323,747,296,411,11.804884,10.664556,35.382126,19.272568,21.666912,23.678398,112,0.1,69.565216,41.271526,42.4716,16.256872,62.01055,29.67263,8.316821,3144,2860,3488,3999,41.0343,24.769054,34.196644,57.680717,42.319286,76.39753,23.602467,31.278399,34.67886,31.337027,31.806055,3,1,Oski
