Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-04-18.02.03 capybara man Ranked Standard Win,2,1,1,0,248,0,340.94012,52.26,1997,539,1131,866,391,286,7.500569,9.8537445,33.06334,27.85905,15.1582775,23.919333,57,0.13,65.26087,48.422234,40.592133,10.985638,65.99125,30.450106,3.5586524,2713,2638,2799,3530,,48.603767,18.441988,32.95424,64.43483,35.565166,65.19929,34.800716,25.552015,30.275438,35.368767,27.344639,0,0,VinuJ
2023-04-18.01.53 sky Ranked Standard Win,1,0,2,0,226,0,360.03015,37.67,1909,509,1315,594,92,210,14.851952,6.066511,48.280296,21.113026,14.635522,15.971155,32,0.11,63.52174,50.619514,36.09692,13.283568,57.244694,35.694183,7.061127,2235,2131,2301,3339,1.0,41.100163,32.365536,26.534294,53.82427,46.17573,71.08242,28.917582,26.87496,33.1615,44.32011,15.307726,1,0,VinuJ
2023-04-18.01.53 Hiroshima.LilBoy Ranked Standard Win,1,0,2,0,226,0,360.5515,37.67,1909,509,1315,594,92,210,14.904936,6.0752954,48.253242,21.09608,14.642644,16.008036,32,0.11,63.565216,50.542244,36.351936,13.105814,57.082897,35.889343,7.0277553,2239,2127,2310,3342,1.0,41.16476,32.36628,26.468967,53.880093,46.11991,71.09246,28.907543,27.03979,32.454044,43.12516,15.518762,1,0,VinuJ
2023-04-18.01.54 capybara man Ranked Standard Loss,1,0,2,0,226,0,360.2453,37.67,1909,509,1227,682,80,205,14.911149,6.04183,48.27781,21.146248,14.602549,15.9734,32,0.1,63.565216,50.64577,36.18167,13.172552,57.17084,35.811348,7.0178127,2225,2111,2301,3343,1.0,41.118324,32.417213,26.464468,53.856277,46.143723,71.13914,28.860868,27.488598,34.187763,45.195786,16.228966,1,0,VinuJ
2023-04-18.01.47 sky Ranked Standard Loss,2,1,0,0,212,0,364.87097,52.03,2024,638,1327,697,310,110,12.799328,14.779317,37.10244,16.367949,14.02214,32.507465,51,0.12,62.0,53.632202,36.86908,9.498719,57.44148,40.485447,2.073076,2558,2487,2659,3573,,39.77714,23.206934,37.015923,58.371483,41.628517,64.0926,35.907402,28.483011,38.42803,35.63381,31.217138,1,0,VinuJ
2023-04-18.01.47 Hiroshima.LilBoy Ranked Standard Loss,2,1,0,0,212,0,365.4639,52.03,2024,638,1327,697,310,110,12.847212,14.761202,37.130455,16.389019,13.969381,32.511147,51,0.11,62.260868,53.616837,36.949688,9.433473,57.397797,40.535088,2.0671163,2557,2474,2677,3579,,39.79992,23.213976,36.986103,58.32613,41.673878,64.05755,35.942455,28.469107,38.340004,35.93247,31.147491,1,0,VinuJ
2023-04-18.01.47 capybara man Ranked Standard Win,2,1,0,0,212,0,366.17685,51.9,2031,638,1327,704,310,104,12.752787,14.748039,37.59958,15.894447,14.04932,32.456654,51,0.11,62.130436,53.642876,36.803017,9.554102,57.360386,40.569946,2.0696602,2573,2499,2680,3582,,39.85895,23.20668,36.934372,58.383945,41.61605,64.077835,35.92216,28.937166,38.763184,35.93858,31.912016,1,0,VinuJ
2023-04-18.01.40 capybara man Ranked Standard Win,3,1,1,1,311,0,341.97513,52.5,1994,557,1414,580,386,329,7.383164,9.741319,31.478148,17.891893,23.105911,27.524044,66,0.11,67.17391,47.219604,38.833984,13.946411,62.03684,33.471565,4.4915986,2719,2942,2561,3576,2.0,50.53454,24.020468,25.445,65.16225,34.837757,71.899826,28.100174,33.157066,27.44033,36.558525,23.295698,1,0,VinuJ
2023-04-18.01.32 capybara man Ranked Standard Win,2,0,1,1,248,0,384.3205,51.94,2072,593,1334,738,434,166,8.479658,11.645232,34.361958,21.819143,12.0850725,31.733822,54,0.1,66.08696,44.83243,41.55281,13.614756,52.40657,41.958145,5.635276,2568,2665,2410,3948,1.0,34.609867,38.185352,27.204782,48.612854,51.387146,70.36085,29.639153,25.813032,40.095215,42.41375,24.669224,0,1,VinuJ
2023-04-18.01.18 capybara man Ranked Standard Loss,1,1,0,1,226,0,345.05228,50.15,2030,674,1216,814,252,125,8.651803,14.555654,31.586916,17.364132,22.617147,28.431805,67,0.11,61.391304,53.470734,38.186108,8.343161,58.146393,38.15497,3.6986413,2753,2636,2871,3634,3.0,33.739815,31.137436,35.12275,51.101524,48.89848,67.326866,32.673134,25.15652,30.312475,35.38344,24.561604,1,1,VinuJ
