,saves,score,bcpm,avg_amount,amount_collected,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,player_name
0,2.0,453.0,420.5663,46.15,2458.0,1802.0,656.0,308.0,337.0,11.39818,8.495166,28.406364,26.533632,23.831985,21.228022,98.0,0.09,66.04348,47.65113,37.40398,14.944882,58.774223,35.668274,5.5575023,3073.0,3163.0,3321.0,55.17223,12.144898,32.682877,72.465836,27.534163,74.541145,25.458858,36.929306,29.030142,29.57196,40.18022,0.0,boay00
1,2.0,453.0,420.65347,46.35,2459.0,1803.0,656.0,320.0,338.0,11.421567,8.487769,28.430006,26.525375,23.817623,21.226995,97.0,0.09,66.17391,47.679585,37.304386,15.016026,58.795483,35.629055,5.575457,3072.0,3166.0,3319.0,55.175476,12.142106,32.68241,72.47017,27.52983,74.5549,25.445095,36.323204,28.56817,29.252438,39.830074,0.0,boay00
2,1.0,374.0,359.35208,47.53,2041.0,1394.0,647.0,330.0,312.0,12.263043,9.302189,30.070988,27.57477,12.047597,30.306644,97.0,0.1,65.608696,47.591568,40.02421,12.384224,57.09178,39.574894,3.3333335,2421.0,2464.0,2988.0,63.34281,8.496383,28.160807,79.18414,20.815855,76.16339,23.836603,38.529255,32.425613,36.1817,31.457245,1.0,boay00
3,1.0,258.0,393.23465,49.83,2263.0,1674.0,589.0,449.0,296.0,10.217498,8.52327,30.01557,26.411394,13.482498,30.090536,49.0,0.13,66.82609,44.19941,43.21714,12.583452,59.17535,36.249966,4.57468,2858.0,2777.0,3604.0,47.392612,23.715458,28.89193,60.96367,39.03634,66.49156,33.508442,27.310375,39.93744,33.044685,35.187813,0.0,boay00
4,1.0,338.0,393.79007,50.2,2304.0,1717.0,587.0,422.0,183.0,11.303233,11.288991,30.988203,25.121103,14.267396,29.623297,76.0,0.09,63.608696,52.340675,36.001724,11.6575985,54.93455,41.06287,4.002586,2794.0,2697.0,3345.0,58.96946,11.824598,29.20595,76.566284,23.433712,70.82985,29.170145,31.477,35.00926,32.986755,36.575985,0.0,boay00
5,1.0,338.0,393.83493,50.2,2304.0,1717.0,587.0,422.0,183.0,11.295975,11.256088,31.003248,25.10682,14.259671,29.630262,75.0,0.09,63.391304,52.31387,35.920162,11.765974,55.061417,40.960026,3.9785585,2793.0,2676.0,3354.0,58.93872,11.776431,29.28485,76.61082,23.389183,70.79057,29.209427,31.537561,35.24116,32.591663,36.751087,0.0,boay00
6,0.0,54.0,419.28705,44.59,2029.0,1293.0,736.0,208.0,344.0,11.16239,5.6586876,35.708202,21.649801,22.671982,19.970016,62.0,0.1,66.565216,43.225067,41.27625,15.498689,61.15358,37.274845,1.5715739,2891.0,2784.0,3521.0,47.129265,19.950788,32.91995,64.744095,35.255905,66.9707,33.0293,31.54813,36.920956,33.27019,31.065954,0.0,boay00
7,1.0,202.0,363.5008,39.45,1950.0,1089.0,861.0,110.0,283.0,10.99823,2.1654706,48.657776,28.140547,12.80484,10.396829,90.0,0.12,68.17391,42.655792,41.99304,15.351166,63.006054,32.078808,4.915132,2580.0,2583.0,3097.0,50.12895,23.115215,26.75583,65.82198,34.17801,69.57056,30.429436,30.882034,39.89188,29.204338,43.30941,2.0,boay00
8,0.0,204.0,449.93176,53.52,2472.0,1936.0,536.0,366.0,373.0,13.092674,7.225846,30.96826,14.514976,24.39707,30.119692,64.0,0.11,67.86957,41.865597,42.53064,15.603764,54.112217,40.71848,5.169309,2885.0,3101.0,3632.0,43.079514,29.168844,27.75164,59.321,40.679,67.30557,32.69443,28.02973,43.13666,32.489002,36.55392,1.0,boay00
9,0.0,190.0,358.0012,48.11,2006.0,1212.0,794.0,207.0,107.0,11.02915,6.7489586,39.690285,24.830301,11.383739,24.095678,69.0,0.12,65.347824,46.228245,43.241085,10.53067,59.095577,36.895866,4.008559,2929.0,2916.0,3353.0,54.895863,12.761769,32.34237,71.735466,28.264528,75.08702,24.912981,38.191547,29.268291,28.524687,39.024387,1.0,boay00
