shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
3,6,2,1,0,0,378,False,66.666664,429,420.76846,48.78,2338,175,1535,0,803,175,18,0,65,16,296,6,389,43.2,12.957797,33.87,10.159272,108.33,89.79,34.43,91.14,33.467205,27.739504,10.636721,28.156569,1521,479414,46.5,128.22,158.76,193.4,121.31,18.79,9.73,84,0.12,66.13043,47.60705,38.449085,13.943866,57.991005,36.374813,5.6341834,2836,2827,2882,3486,188.59,87.07,57.83,235.09,98.4,261.02,72.47,118.8,95.2,97.9,116.2,56.550423,17.34085,26.10873,70.49387,29.506132,78.26921,21.730787,35.63394,28.555145,29.365007,34.854073,0,3,Oski
2,12,1,2,1,0,337,False,50,427,443.67334,49.62,2749,389,1535,200,1214,189,18,2,93,17,280,7,457,60.76,16.343878,22.06,5.9339356,133.1,71.06,73.76,99.06,35.306915,18.849806,19.566025,26.277256,1593,585813,66.32,166.66,153.35,220.85,146.22,19.26,10.71,94,0.11,69.26087,39.694046,43.139282,17.16667,57.16615,37.84847,4.985375,2840,2821,2778,3664,190.02,141.74,54.57,279.29,107.04,286.52,99.81,128.3,107.2,114.6,126.7,49.18593,14.125229,36.688843,72.29311,27.70688,74.16457,25.835426,34.511513,28.835808,30.826338,34.081127,1,0,Oski
2,5,1,0,2,0,396,False,50,473,483.6058,42.02,2677,507,1905,322,772,185,21,4,69,16,200,77,335,47.3,14.241411,40.02,12.049499,127.52,95.88,49.99,60,38.2495,28.759111,14.9944515,17.99694,1624,529064,60.04,148.98,131.26,178.96,137.89,23.43,9.61,87,0.11,70.608696,38.574112,43.781593,17.644293,52.591984,40.52251,6.885506,2860,2622,3089,3685,181.46,94.79,64.03,239.65,100.63,233.08,107.2,96.3,121.2,109.8,100.2,53.32667,18.816856,27.856472,70.42729,29.572704,68.49654,31.503468,28.99467,36.491734,33.059345,30.16891,2,1,Oski
2,11,1,3,2,0,408,False,50,435,427.79123,43.45,2624,352,1868,198,756,154,21,2,71,16,241,1,315,50.67,13.7678995,30.7,8.341711,184,64.8,42.98,73.18,50.416485,17.755373,11.776633,20.051514,1517,531429,54.19,142.95,182.78,215.02,134.2,30.7,11.17,110,0.1,65.95652,48.11013,37.626343,14.26353,56.596123,35.323223,8.080648,2760,2794,2732,3498,223.85,103.77,52.3,285.03,94.89,300.52,79.4,114.1,105.2,114.2,99,58.920303,13.766057,27.313646,75.02369,24.976313,79.10086,20.899137,31.002907,28.584627,31.030079,26.89998,1,3,Oski
0,12,0,3,2,0,212,False,0,456,489.8436,42.65,2725,250,1900,0,825,250,22,0,66,22,215,14,445,53.08,15.902691,22.83,6.8398347,134.18,81.36,50.03,65.9,40.48028,24.545208,15.093372,19.881136,1590,509663,63.63,142.1,136.56,199.96,128.37,13.95,9.35,84,0.11,69.13043,39.895992,41.514507,18.5895,58.420002,37.50438,4.07561,2732,2586,2872,3678,160.61,127.42,54.26,228.74,113.55,238.97,103.31,85,137,122.2,104,46.922203,15.8520565,37.225746,66.82637,33.173622,69.81711,30.182892,25.465876,41.045,36.610943,31.158249,1,3,Oski
3,3,0,1,1,0,208,False,0,512,562.48254,48.98,3021,855,2034,432,987,423,23,5,82,29,287,67,510,41.52,12.884406,24.87,7.7176104,98.27,83.16,61.67,75.46,30.848192,26.104973,19.35899,23.687845,1678,524835,72.84,144.11,110.08,184.39,119.71,22.92,9.03,84,0.11,72.95652,33.660522,44.066296,22.273184,56.384926,36.606323,7.008745,2781,2715,2836,3656,119.04,107.12,100.87,170.76,156.26,238.89,88.14,97.4,113.8,111,92.3,36.40033,30.844265,32.755405,52.21699,47.78301,73.04835,26.951656,30.224981,35.314198,34.445305,28.642359,2,2,Oski
1,11,0,2,2,0,244,False,0,476,488.75854,46.82,2750,517,2052,239,698,278,25,3,61,25,280,60,240,35.6,10.545336,38.51,11.407328,123.32,61.11,79.98,82.14,35.585052,17.63382,23.078922,23.702208,1563,521973,71.6,120.37,157.17,183.57,135.3,30.26,10.25,89,0.12,67.95652,45.016323,34.47614,20.507532,52.57927,38.75347,8.667258,2864,2713,3014,3756,139.96,121.46,87.72,184.31,164.83,235.95,113.19,96.7,133.6,115.7,115.7,40.08707,25.12459,34.788334,52.78971,47.210285,67.58034,32.41966,28.644215,39.574635,34.272343,34.272343,1,0,Oski
0,2,1,0,0,0,148,False,0,310,274.2091,48.69,900,165,820,129,80,36,11,2,7,3,279,70,118,48.83,24.795614,10.19,5.1744275,89.77,20.81,14.08,36.56,55.681675,12.907827,8.733408,22.677088,1643,193852,35.28,44.02,94.57,75.17,84.48,14.22,1.78,21,0.08,71.434784,54.391212,25.317766,20.291023,43.23345,48.588028,8.178524,2880,2702,3422,3708,98.18,53.17,22.52,115.09,58.78,122.25,51.62,84,54.8,54.6,113.8,56.467476,12.952206,30.58032,66.19314,33.80687,70.31116,29.688848,42.65475,27.827148,27.72559,57.787033,0,1,Oski
1,9,0,2,3,0,400,False,0,472,474.72055,46.85,2881,792,2189,547,692,245,26,7,63,22,408,144,591,55.73,15.304974,34.46,9.463653,129,84.5,60.93,93.44,35.066734,22.970072,16.562916,25.400278,1635,583595,85.1,143.37,143.14,183.44,157.36,30.81,9.14,86,0.11,71.08696,38.518875,38.58077,22.900352,49.363583,42.34547,8.290951,2375,2350,2460,3606,138.53,131.07,102.01,207.97,163.64,224.72,146.89,93.3,148.4,137.6,112.6,37.278328,27.45082,35.27085,55.96459,44.035416,60.472004,39.528,25.622717,40.754673,37.788704,30.923021,2,1,Oski
4,7,0,2,1,1,228,False,0,497,539.9701,47.91,3070,907,2323,638,747,269,26,7,69,26,296,67,411,40.27,11.804884,36.38,10.664556,120.14,65.44,73.57,80.4,35.382126,19.272568,21.666912,23.678398,1600,532495,58.25,152.18,147.88,222.19,106.32,29.8,10.81,112,0.1,69.565216,41.271526,42.4716,16.256872,62.01055,29.67263,8.316821,3144,2860,3488,3999,147.03,122.53,88.75,206.67,151.63,273.74,84.57,106.7,118.3,106.9,108.5,41.0343,24.769054,34.196644,57.680717,42.319286,76.39753,23.602467,31.278399,34.67886,31.337027,31.806055,3,1,Oski
4,7,0,2,1,1,228,False,0,497,540.19006,47.55,3069,907,2322,638,747,269,26,7,69,26,257,67,399,40.43,11.860478,36.22,10.62544,119.96,65.47,73.61,80.34,35.346813,19.291061,21.689552,23.672579,1608,532458,58.32,152.01,147.63,222.41,105.86,29.69,10.72,110,0.1,69.91304,41.242035,42.465633,16.292322,62.132637,29.573135,8.294222,3160,2865,3508,4001,146.85,122.63,88.48,206.61,151.34,273.17,84.78,105,116.6,103.8,106.2,41.024136,24.717844,34.258015,57.72035,42.279648,76.31513,23.684872,30.802628,34.205585,30.450598,31.154657,3,1,Oski
6,10,2,1,3,0,549,False,33.333332,469,465.22812,46.64,2580,379,1861,196,719,183,21,2,66,17,281,3,463,56.52,16.986237,31.33,9.41576,138.31,74.13,43.84,67.13,42.766148,22.921368,13.555549,20.756931,1564,502148,56.39,133.96,153.92,183.22,131.55,29.51,8.66,80,0.11,68,44.70909,38.91132,16.379585,53.218307,38.210175,8.571511,2909,2773,3034,3872,153.76,116.97,73.54,210.04,134.24,259.19,85.08,105.2,124.3,126.4,115.5,44.662617,21.361141,33.976242,61.00848,38.99152,75.286835,24.71316,31.616278,37.356495,37.987617,34.71179,1,2,Oski
6,10,2,1,3,0,549,False,33.333332,467,463.24588,46.5,2567,379,1860,196,707,183,21,2,65,17,258,3,487,56.59,17.020573,31.4,9.444177,138.44,73.88,43.84,67.1,42.826206,22.854666,13.561838,20.757284,1564,501993,56.41,133.79,153.5,183.04,131.5,29.15,8.81,81,0.11,68,44.661045,38.926388,16.412569,53.2573,38.261227,8.481482,2889,2756,3022,3877,153.5,116.98,73.21,209.28,134.41,258.66,85.03,102.7,122.9,124.2,113.5,44.662342,21.301172,34.036488,60.892082,39.107918,75.25968,24.740318,30.889074,36.96463,37.35563,34.13739,1,2,Oski
4,5,0,3,2,2,373,False,0,511,508.41064,48.95,2831,802,1967,487,864,315,23,5,68,24,352,16,556,49.11,14.699192,40.14,12.014367,129.26,65.21,63.93,81.41,38.038902,19.190136,18.813456,23.957508,1719,564614,84.95,154.94,111.44,179.07,143.08,29.19,9.65,85,0.11,74.73913,31.719465,44.100986,24.179544,50.96772,40.724083,8.308191,2687,2408,2977,3724,134.72,133.18,83.44,201.52,149.74,268.8,82.53,102.4,106.1,132.1,88.9,38.344624,23.749075,37.9063,57.370605,42.629395,76.50926,23.490736,30.649506,31.756958,39.539062,26.608799,0,0,Oski
4,5,0,3,2,2,373,False,0,511,508.8066,48.81,2831,802,1967,487,864,315,23,5,68,24,352,16,525,49.15,14.722622,40.2,12.041697,129.11,65.41,63.7,81.27,38.030575,19.267138,18.76344,23.938848,1719,564576,85.2,154.76,110.91,178.79,143.05,29.03,9.46,86,0.11,74.73913,31.609999,44.107502,24.282497,50.956196,40.77009,8.27372,2662,2362,2971,3726,134.56,132.84,83.47,201.34,149.47,268.43,82.44,100.9,103,131.4,86.4,38.350388,23.789438,37.860176,57.39289,42.60711,76.50412,23.495882,30.22406,30.853104,39.36017,25.880661,0,0,Oski
3,7,1,2,2,0,439,False,33.333332,505,524.68036,56.87,2955,940,2074,658,881,282,25,8,68,26,452,152,567,32.63,9.656131,41.95,12.414181,107.83,58.93,58.34,108.89,32.2854,17.644241,17.467588,32.60277,1676,545847,75.41,142.48,123.07,189.55,130.42,20.99,10.6,96,0.11,72.86957,36.095142,41.787895,22.116966,55.593033,38.250824,6.1561475,2952,2811,3112,4002,137.57,111.88,91.52,192.77,148.19,236.52,104.44,114.4,117.5,118.7,100,40.34666,26.84107,32.81227,56.53742,43.462574,69.368835,30.631157,33.854164,34.77154,35.126656,29.592802,1,2,Oski
3,7,1,2,2,0,439,False,33.333332,506,525.4644,56.87,2956,940,2151,658,805,282,26,8,67,26,475,152,557,32.6,9.6584,42.13,12.4818535,107.8,58.88,58.23,108.74,32.309307,17.647236,17.452421,32.591038,1677,546099,75.87,141.9,122.69,189.28,130.28,20.91,10.34,96,0.11,72.91304,36.03654,41.6789,22.284557,55.59374,38.26475,6.14151,2976,2844,3124,4001,137.19,112.04,91.24,192.46,148.01,236.7,103.76,112.5,116.5,116.1,98.3,40.2943,26.79825,32.90745,56.52774,43.472256,69.52359,30.476416,33.33037,34.51545,34.396942,29.123337,1,2,Oski
5,4,1,1,0,1,386,False,20,492,511.16077,52.71,2935,897,2200,663,735,234,26,9,66,21,321,140,627,33.32,9.671707,32.82,9.526574,102.05,61.96,77.98,106.58,29.276758,17.775482,22.371405,30.576355,1691,572276,84.66,151.96,125.4,203.21,134.57,24.23,8.3,80,0.1,73.521736,34.63897,41.975582,23.385447,56.1338,37.173004,6.6931844,3078,3061,3115,4139,178.99,113.79,69.23,240.98,121.03,265.85,96.16,124.5,130.8,130.5,112,49.443386,19.123781,31.432833,66.56722,33.432777,73.437195,26.562801,36.138283,37.966965,37.879887,32.50994,0,0,Oski
5,4,1,1,0,1,386,False,20,492,511.34286,52.66,2934,897,2200,663,734,234,26,9,66,21,321,140,626,33.28,9.666832,32.79,9.524502,101.91,62.01,77.87,106.5,29.2601,17.804129,22.357805,30.577967,1697,572225,84.66,151.55,125.48,202.82,134.73,24.13,8.24,78,0.11,73.78261,34.69269,41.900524,23.406784,56.077198,37.251163,6.6716437,3089,3080,3119,4132,179.11,113.53,69.05,240.67,121.01,265.44,96.24,122.8,128.3,129.8,109.5,49.520306,19.090935,31.388758,66.54225,33.457752,73.39085,26.609158,35.669678,37.26726,37.70297,31.806433,0,0,Oski
1,4,0,1,0,0,150,False,0,509,488.01785,56.8,2515,662,1816,421,699,241,27,6,63,21,863,190,445,30.68,9.92206,39.53,12.784192,76.02,56.34,60.07,111.7,24.995888,18.524973,19.751421,36.727715,1673,514819,63.02,152.14,100.01,185.68,121.67,7.82,10.79,94,0.11,72.73913,31.732082,48.27236,19.99556,58.91424,38.604565,2.4812007,2858,2900,2883,3880,114.82,118.36,82,185.74,129.44,217.12,98.06,103.2,105.4,108.8,86.4,36.429977,26.01688,37.553146,58.931404,41.068596,68.88762,31.112381,33.375378,34.08687,35.186443,27.942177,2,0,Oski
1,4,0,1,0,0,150,False,0,507,485.41113,57.3,2501,662,1816,421,685,241,27,6,62,21,871,190,444,30.53,9.875784,39.61,12.812964,77.06,55.24,60.03,111.73,25.343683,18.167467,19.742815,36.746037,1674,514803,63.18,151.95,99.85,185.37,121.84,7.78,10.72,96,0.11,72.78261,31.700428,48.24116,20.058418,58.849487,38.680595,2.4699197,2845,2875,2882,3881,114.71,118.35,81.92,185.6,129.38,217.01,97.97,101.2,103.9,106.1,83.9,36.418182,26.008,37.573814,58.924374,41.075623,68.89644,31.103563,32.735977,33.609367,34.32102,27.139807,2,0,Oski
5,9,2,2,2,0,499,True,40,485,483.80563,51.38,2746,706,2041,464,705,242,25,6,62,21,476,136,480,48.2,14.153576,37.6,11.040963,130.56,56.17,68.03,92.46,37.60152,16.177063,19.592766,26.62865,1626,543767,64.24,155.39,141.35,197.81,137.56,25.6,8.33,78,0.11,70.695656,39.1573,43.046707,17.796001,54.79957,38.10843,7.092002,2833,2792,2925,3764,152.68,131.29,77,219.16,141.81,270,90.97,103.7,134.2,120.5,98.6,42.297146,21.331415,36.371445,60.714188,39.285812,74.79846,25.20154,30.450743,39.406845,35.383938,28.953165,2,0,Oski
5,9,2,2,2,0,499,True,40,485,484.0757,51.38,2746,706,2041,464,705,242,25,6,62,21,476,136,480,48.19,14.158539,37.67,11.067693,130.17,56.35,67.94,92.44,37.52378,16.243876,19.584894,26.64745,1623,543633,64.63,154.52,141.09,198.07,136.67,25.5,8.19,78,0.1,70.565216,39.165558,42.893627,17.940817,54.98279,37.9386,7.078614,2832,2795,2920,3769,152.05,131.12,77.06,218.75,141.49,269.37,90.87,102.4,132.1,117.8,97.2,42.209145,21.39189,36.398968,60.723408,39.276596,74.775154,25.224852,30.085793,38.81185,34.610413,28.557999,2,0,Oski
2,2,0,0,1,1,267,False,0,503,508.5854,54.96,2878,653,2097,356,781,297,26,5,62,18,515,145,515,29.78,8.770948,42.91,12.638059,85.19,65.61,79.33,114.01,24.75446,19.064915,23.051664,33.128956,1597,539530,65.49,144.34,135.69,186.83,122.58,36.11,9.2,81,0.11,69.434784,39.271244,41.77472,18.95404,54.07212,35.47696,10.450914,2894,2903,2861,3825,124.49,146.13,74.9,194.86,150.66,243.61,101.91,98.4,127.2,123,118.5,36.02975,21.677471,42.292774,56.396152,43.60384,70.50532,29.494673,28.98124,37.463554,36.226547,34.901188,0,0,Oski
1,10,0,3,1,0,166,False,0,479,489.63232,51.64,2688,924,2021,665,667,259,23,7,60,23,318,48,447,34.08,10.346398,34.45,10.458726,114.23,65.39,80.77,75.16,34.042618,19.48741,24.070929,22.399048,1610,522298,68.16,138.27,137.28,181.17,134.29,28.24,11.22,94,0.12,70,39.940647,40.228683,19.830673,52.71167,39.071865,8.216468,2924,2672,3179,3833,167.92,100.79,75,222.6,121.11,210.17,133.54,94.6,128.8,110.8,117.1,48.85514,21.82072,29.32414,64.76389,35.2361,61.14748,38.85252,28.719753,39.10258,33.637936,35.55056,2,0,Oski
